측정일,도시명,행정동명,통합대기환경수치,통합대기환경지수,아황산가스농도,아황산가스지수,일산화탄소농도,일산화탄소지수,이산화질소농도,이산화질소지수,오존농도,오존지수,미세먼지(PM10)농도,미세먼지(PM2.5)농도,미세먼지(PM10)24시간등급,미세먼지(PM2.5)24시간등급
2022-05-19 23:00,부산,광복동,72,2,0.006,1.0,0.4,1.0,0.023,1,0.046,2,30,23,2,2
2022-05-19 23:00,부산,초량동,85,2,0.003,1.0,0.4,1.0,0.051,2,0.028,1,29,22,2,2
2022-05-19 23:00,부산,태종대,78,2,0.003,1.0,0.2,1.0,0.021,1,0.063,2,29,16,1,1
2022-05-19 23:00,부산,청학동,77,2,0.003,1.0,0.2,1.0,0.015,1,0.062,2,23,12,1,1
2022-05-19 23:00,부산,전포동,76,2,0.003,1.0,0.3,1.0,0.015,1,0.061,2,27,16,2,2
2022-05-19 23:00,부산,온천동,73,2,0.003,1.0,0.3,1.0,0.024,1,0.057,2,30,14,2,2
2022-05-19 23:00,부산,명장동,72,2,0.003,1.0,0.35,1.0,0.011,1,0.056,2,29,17,2,2
2022-05-19 23:00,부산,대연동,66,2,0.003,1.0,0.4,1.0,0.04,2,0.034,2,36,21,2,2
2022-05-19 23:00,부산,용호동,61,2,0.004,1.0,0.4,1.0,0.031,2,0.043,2,28,19,1,2
2022-05-19 23:00,부산,학장동,82,2,0.002,1.0,0.3,1.0,0.011,1,0.068,2,39,27,2,2
2022-05-19 23:00,부산,덕천동,73,2,0.002,1.0,0.4,1.0,0.024,1,0.058,2,32,19,2,2
2022-05-19 23:00,부산,화명동,72,2,0.0025,1.0,0.4,1.0,0.016,1,0.056,2,37,21,2,2
2022-05-19 23:00,부산,삼락동,75,2,0.003,1.0,0.4,1.0,0.018,1,0.06,2,40,26,2,2
2022-05-19 23:00,부산,청룡동,57,2,0.003,1.0,0.35,1.0,0.031,2,0.038,2,26,19,1,2
2022-05-19 23:00,부산,좌동,69,2,0.003,1.0,0.3,1.0,0.013,1,0.053,2,37,17,2,2
2022-05-19 23:00,부산,재송동,81,2,0.005,1.0,0.3,1.0,0.012,1,0.067,2,31,23,2,2
2022-05-19 23:00,부산,부산항,79,2,0.002,1.0,0.2,1.0,0.026,1,0.065,2,32,19,2,2
2022-05-19 23:00,부산,장림동,64,2,0.002,1.0,0.3,1.0,0.026,1,0.047,2,29,20,2,2
2022-05-19 23:00,부산,대저동,69,2,0.003,1.0,0.3,1.0,0.017,1,0.053,2,28,20,1,2
2022-05-19 23:00,부산,녹산동,87,2,0.004,1.0,0.2,1.0,0.014,1,0.074,2,31,24,2,2
2022-05-19 23:00,부산,명지동,82,2,0.002,1.0,0.3,1.0,0.012,1,0.068,2,40,24,2,2
2022-05-19 23:00,부산,연산동,77,2,0.003,1.0,0.3,1.0,0.014,1,0.062,2,26,20,2,2
2022-05-19 23:00,부산,기장읍,85,2,0.004,1.0,0.3,1.0,0.005,1,0.072,2,27,17,2,2
2022-05-19 23:00,부산,용수리,76,2,0.003,1.0,0.2,1.0,0.014,1,0.061,2,32,25,2,2
2022-05-19 23:00,부산,수정동,60,2,0.003,1.0,0.4,1.0,0.028,1,0.042,2,30,22,2,2
2022-05-19 23:00,부산,부곡동,89,2,0.002,1.0,0.2,1.0,0.011,1,0.077,2,27,12,2,2
2022-05-19 23:00,부산,회동동,58,2,0.007,1.0,0.4,1.0,0.025,1,0.04,2,29,21,1,2
2022-05-19 23:00,부산,광안동,65,2,0.005,1.0,0.35,1.0,0.029,1,0.036,2,38,21,2,2
2022-05-19 23:00,부산,대신동,91,2,0.003,1.0,0.3,1.0,0.01,1,0.079,2,26,15,2,2
2022-05-19 23:00,부산,덕포동,73,2,0.004,1.0,0.3,1.0,0.018,1,0.057,2,29,20,2,2
2022-05-19 23:00,부산,개금동,79,2,0.003,1.0,0.4,1.0,0.023,1,0.065,2,39,18,2,2
2022-05-19 23:00,부산,당리동,69,2,0.002,1.0,0.4,1.0,0.025,1,0.053,2,32,18,2,2
2022-05-19 23:00,부산,부산북항,110,3,0.004,1.0,0.3,1.0,0.069,3,0.017,1,35,18,2,2
2022-05-19 23:00,부산,부산신항,143,3,0.007,1.0,0.3,1.0,0.1,3,0.025,1,41,21,2,2
