연도,범죄명,자백발생횟수,재범발생횟수,공범자수,마약소지
2011,강간·강제추행,17652,8324,0,14
2011,강도,4890,3230,0,12
2011,공갈,3786,1949,0,5
2011,교통범죄,524350,253502,0,82
2011,기타범죄,224781,111959,0,102
2011,노동범죄,2641,1612,0,0
2011,도박범죄,46174,31382,0,27
2011,마약범죄,5409,3382,0,2947
2011,문서·인장,22105,5817,0,12
2011,방화,1519,977,0,0
2011,배임,7860,1721,0,1
2011,병역범죄,22752,8792,0,5
2011,보건범죄,20445,10024,0,7
2011,사기,264634,74252,0,100
2011,살인기수,449,239,0,2
2011,살인미수등,836,563,0,2
2011,상해,89138,59719,0,19
2011,선거범죄,400,174,0,0
2011,성풍속범죄,15209,4388,0,4
2011,손괴,28749,18905,0,7
2011,안보범죄,160,81,0,0
2011,약취·유인,340,165,0,0
2011,유가증권인지,1025,270,0,0
2011,절도범죄,111390,57431,0,62
2011,증수뢰,1239,562,0,0
2011,직권남용,357,31,0,0
2011,직무유기,669,50,0,0
2011,체포·감금,969,419,0,0
2011,통화,121,53,0,0
2011,특별경제범죄,91622,37610,0,31
2011,폭력행위등,103423,53990,0,35
2011,폭행,161782,58551,0,22
2011,협박,3855,1608,0,0
2011,환경범죄,3113,2029,0,1
2011,횡령,31389,8912,0,6
2012,강간·강제추행,18012,9209,1670,14
2012,강도,3322,2391,1856,15
2012,공갈,5455,3223,1387,5
2012,교통범죄,512076,259955,4896,79
2012,기타범죄,208432,112974,51034,89
2012,노동범죄,2378,1506,846,0
2012,도박범죄,34584,26402,28198,11
2012,마약범죄,4731,3395,1943,2944
2012,문서·인장,19479,6025,4289,1
2012,방화,1399,963,216,1
2012,배임,7510,1820,1506,0
2012,병역범죄,18359,10783,560,7
2012,보건범죄,19531,10819,6853,6
2012,사기,220887,79849,35270,69
2012,살인기수,446,248,60,1
2012,살인미수등,610,429,62,3
2012,상해,84850,59179,5916,17
2012,선거범죄,1855,903,618,0
2012,성풍속범죄,16321,6715,2562,7
2012,손괴,29631,20211,1762,11
2012,안보범죄,126,83,38,0
2012,약취·유인,270,139,73,0
2012,유가증권인지,633,210,115,0
2012,절도범죄,104434,58018,39201,49
2012,증수뢰,832,396,379,1
2012,직권남용,409,42,56,0
2012,직무유기,823,80,120,0
2012,체포·감금,1113,498,232,2
2012,통화,163,78,58,0
2012,특별경제범죄,93427,45000,18818,31
2012,폭력행위등,106256,59117,70422,33
2012,폭행,167975,67122,7642,23
2012,협박,4732,2171,341,0
2012,환경범죄,3247,2127,788,0
2012,횡령,29507,10545,3540,8
2013,강간,5856,3023,851,13
2013,강도,2593,1887,1393,10
2013,강제추행,12496,6793,474,4
2013,공갈,3189,1833,650,1
2013,교통범죄,536756,275880,3930,70
2013,기타 강간·강제추행등,1887,1157,272,3
2013,기타범죄,213524,114621,47986,87
2013,노동범죄,2309,1394,800,1
2013,도박범죄,29326,22379,22997,10
2013,마약범죄,5049,3539,1852,3003
2013,문서·인장,20406,6602,4149,5
2013,방화,1386,961,152,4
2013,배임,8425,2094,1754,0
2013,병역범죄,23200,13022,502,13
2013,보건범죄,23046,13413,7407,4
2013,사기,239309,85967,33649,98
2013,살인기수,377,196,49,3
2013,살인미수등,620,434,62,3
2013,상해,75206,52622,4341,13
2013,선거범죄,409,199,111,0
2013,성풍속범죄,18688,7223,2256,5
2013,손괴,29295,19887,1591,5
2013,안보범죄,152,92,58,0
2013,약취·유인,260,117,73,0
2013,유가증권인지,548,174,87,0
2013,유사강간,136,77,8,0
2013,절도범죄,102658,59482,34858,51
2013,증수뢰,855,424,398,0
2013,직권남용,523,37,72,0
2013,직무유기,802,65,85,0
2013,체포·감금,1086,513,124,1
2013,통화,434,91,73,1
2013,특별경제범죄,83308,38951,13928,30
2013,폭력행위등,89858,51986,55210,23
2013,폭행,166337,67253,6660,18
2013,협박,4682,2147,282,2
2013,환경범죄,3588,2484,840,0
2013,횡령,32723,12057,3760,8
2014,강간,5517,2716,739,14
2014,강도,2078,1514,1021,13
2014,강제추행,13400,7239,449,1
2014,공갈,3674,2211,703,6
2014,교통범죄,533126,258330,3818,53
2014,기타 강간·강제추행등,1193,696,133,1
2014,기타범죄,230854,120899,50892,72
2014,노동범죄,2131,1225,779,0
2014,도박범죄,27749,20669,20667,2
2014,마약범죄,5264,3462,1850,3101
2014,문서·인장,19460,6442,3910,7
2014,방화,1466,1003,164,3
2014,배임,9361,2762,2078,0
2014,병역범죄,18523,11390,454,5
2014,보건범죄,22085,12088,7299,4
2014,사기,222173,85702,32659,87
2014,살인기수,447,213,60,2
2014,살인미수등,575,391,43,5
2014,상해,66885,45878,3701,7
2014,선거범죄,2800,1302,969,0
2014,성풍속범죄,13945,5379,2043,6
2014,손괴,29907,19578,1395,6
2014,안보범죄,90,45,14,0
2014,약취·유인,252,123,75,0
2014,유가증권인지,552,203,106,0
2014,유사강간,389,194,26,2
2014,절도범죄,95645,53016,28560,55
2014,증수뢰,848,387,405,0
2014,직권남용,595,37,60,0
2014,직무유기,801,43,58,0
2014,체포·감금,1118,459,132,0
2014,통화,334,76,29,0
