"죄종별(1)","죄종별(2)",범죄발생검거기간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"계","소계",계,1382463,1370121,1420658,1392112,1500234,1552455,1413717,1328609,1342854,1289129
"계","소계",1일이내,676679,637659,630581,604041,610183,621450,536805,445309,398658,334645
"계","소계",2일이내,27644,28492,29009,28636,30859,32599,29994,24174,23087,21178
"계","소계",3일이내,26687,28430,30595,30852,33833,36502,34996,30166,29732,28117
"계","소계",10일이내,105133,113035,121944,129472,149162,168827,163919,152679,163576,161200
"계","소계",1개월이내,135784,145559,151568,161089,185207,206784,206553,216045,241449,242976
"계","소계",3개월이내,143550,154215,162624,164023,184206,191167,179988,196725,224458,234199
"계","소계",6개월이내,74801,73673,80623,78330,89588,91144,80619,81804,90758,97092
"계","소계",1년이내,66227,66454,70438,66035,74963,73131,64280,62144,64063,64299
"계","소계",1년초과,125921,122565,143276,129610,142233,130851,116563,119563,107073,105423
"계","소계",미상,37,39,-,24,-,-,-,-,-,-
"강력범죄","소계",계,22426,21187,23937,23897,24373,24897,26334,25811,25507,23556
"강력범죄","소계",1일이내,10755,9350,9820,9755,10058,10279,11097,8721,7964,5685
"강력범죄","소계",2일이내,574,547,584,558,489,449,449,316,288,283
"강력범죄","소계",3일이내,505,522,553,501,456,408,402,369,377,287
"강력범죄","소계",10일이내,2409,2386,2673,2495,2572,2392,2398,2269,2166,1909
"강력범죄","소계",1개월이내,2835,2868,3462,3744,3985,4358,4853,5227,5671,5448
"강력범죄","소계",3개월이내,2428,2544,3135,3406,3334,3650,3922,4570,5163,5776
"강력범죄","소계",6개월이내,1077,1051,1410,1354,1320,1239,1156,1381,1472,1589
"강력범죄","소계",1년이내,746,704,958,914,964,841,780,1075,907,944
"강력범죄","소계",1년초과,1096,1215,1342,1170,1195,1281,1277,1883,1499,1635
"강력범죄","소계",미상,1,-,-,-,-,-,-,-,-,-
"강력범죄","살인기수",계,395,395,334,364,357,348,301,298,299,299
"강력범죄","살인기수",1일이내,217,226,195,213,220,208,183,186,176,185
"강력범죄","살인기수",2일이내,13,19,14,18,13,16,14,14,18,18
"강력범죄","살인기수",3일이내,11,13,9,14,15,8,1,8,7,9
"강력범죄","살인기수",10일이내,35,41,38,31,35,28,27,18,23,20
"강력범죄","살인기수",1개월이내,29,21,20,28,22,23,20,16,18,13
"강력범죄","살인기수",3개월이내,38,30,22,25,16,30,24,21,23,22
"강력범죄","살인기수",6개월이내,18,15,8,12,8,8,7,14,13,14
"강력범죄","살인기수",1년이내,8,8,9,11,5,7,7,5,5,6
"강력범죄","살인기수",1년초과,26,22,19,12,23,20,18,16,16,12
"강력범죄","살인미수등",계,759,576,579,537,552,561,525,484,481,406
"강력범죄","살인미수등",1일이내,511,412,425,372,408,432,430,366,360,286
"강력범죄","살인미수등",2일이내,16,13,15,12,10,11,10,8,6,9
"강력범죄","살인미수등",3일이내,16,7,6,8,7,9,1,7,4,8
"강력범죄","살인미수등",10일이내,69,35,29,38,31,33,16,24,20,25
"강력범죄","살인미수등",1개월이내,49,34,27,24,27,21,17,18,26,19
"강력범죄","살인미수등",3개월이내,33,28,30,23,24,20,21,16,24,24
"강력범죄","살인미수등",6개월이내,22,13,13,15,9,9,7,13,11,10
"강력범죄","살인미수등",1년이내,18,9,14,9,11,11,8,10,11,7
"강력범죄","살인미수등",1년초과,25,25,20,36,25,15,15,22,19,18
"강력범죄","강도",계,3385,2240,1857,1546,1457,1168,977,821,801,658
"강력범죄","강도",1일이내,1078,775,596,532,510,445,419,341,360,271
"강력범죄","강도",2일이내,120,89,81,64,62,69,44,36,27,26
"강력범죄","강도",3일이내,101,73,60,65,44,40,31,19,33,16
"강력범죄","강도",10일이내,479,337,266,228,256,157,122,96,93,64
"강력범죄","강도",1개월이내,609,353,276,239,206,155,129,132,102,85
"강력범죄","강도",3개월이내,430,255,238,198,149,127,95,84,101,92
"강력범죄","강도",6개월이내,173,106,98,65,77,52,34,40,33,49
"강력범죄","강도",1년이내,141,73,76,42,40,24,31,16,17,25
"강력범죄","강도",1년초과,253,179,166,113,113,99,72,57,35,30
"강력범죄","강도",미상,1,-,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",계,16404,16630,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",1일이내,8062,7118,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",2일이내,388,388,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",3일이내,349,400,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",10일이내,1697,1869,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",1개월이내,2003,2335,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",3개월이내,1798,2106,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",6개월이내,811,864,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",1년이내,545,593,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",1년초과,751,957,-,-,-,-,-,-,-,-
"강력범죄","강간",계,-,-,5481,5051,5101,5097,5134,5206,5197,5183
"강력범죄","강간",1일이내,-,-,1319,1179,1231,1188,1281,960,950,721
"강력범죄","강간",2일이내,-,-,138,124,101,89,81,55,59,54
"강력범죄","강간",3일이내,-,-,135,104,83,73,84,66,73,57
"강력범죄","강간",10일이내,-,-,697,579,550,520,475,407,387,332
