"죄종별(1)","죄종별(2)",전과별(1),전과별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"계","소계",계,소계,1815233,1723815,1741302,1712435,1771390,1847605,1685461,1581922,1585638,1494421
"계","소계",없음,소계,964589,431824,410041,401952,408411,429304,391015,355589,359526,330824
"계","소계",전과있음,소계,850644,836856,850657,826063,836002,873307,787453,709823,696593,655900
"계","소계",전과있음,1범,202925,199632,196926,190314,190438,198122,178307,158147,153761,141663
"계","소계",전과있음,2범,139392,134595,137263,132691,132073,137142,124017,108757,105304,96716
"계","소계",전과있음,3범,104488,100928,100070,96243,96144,100480,90642,80265,78177,73425
"계","소계",전과있음,4범,76258,74295,74579,72279,72836,75618,68040,60405,58415,54547
"계","소계",전과있음,5범,58667,57241,58790,56274,57184,60311,53403,47740,47038,43735
"계","소계",전과있음,6범,45382,44558,45545,44385,44874,47171,42364,37325,36325,34138
"계","소계",전과있음,7범,35744,35159,35927,34000,34970,36804,32452,30357,29518,28092
"계","소계",전과있음,8범,29784,28614,28998,27842,28428,29457,26421,23427,23069,21959
"계","소계",전과있음,9범이상,158004,161834,172559,172035,179055,188202,171807,163400,164986,161625
"계","소계",미상,소계,-,455135,480604,484420,526977,544994,506993,516510,529519,507697
"강력범죄","소계",계,소계,25346,23789,25351,25065,25821,27071,28927,28302,28943,26971
"강력범죄","소계",없음,소계,11623,6553,7441,7820,8133,8547,9289,8667,8853,7818
"강력범죄","소계",전과있음,소계,13723,12943,14264,13845,13871,14175,14474,13684,13701,12790
"강력범죄","소계",전과있음,1범,3021,2784,3342,3218,3277,3420,3519,3289,3247,3011
"강력범죄","소계",전과있음,2범,1995,1989,2215,2206,2123,2171,2315,2073,2156,1981
"강력범죄","소계",전과있음,3범,1594,1463,1571,1542,1585,1629,1517,1554,1541,1364
"강력범죄","소계",전과있음,4범,1168,1020,1174,1166,1112,1153,1170,1141,1184,1062
"강력범죄","소계",전과있음,5범,935,907,953,906,927,928,1027,928,880,855
"강력범죄","소계",전과있음,6범,774,734,766,716,692,712,760,699,720,653
"강력범죄","소계",전과있음,7범,638,593,638,531,601,579,557,575,569,604
"강력범죄","소계",전과있음,8범,548,536,459,488,471,500,470,457,459,392
"강력범죄","소계",전과있음,9범이상,3050,2917,3146,3072,3083,3083,3139,2968,2945,2868
"강력범죄","소계",미상,소계,-,4293,3646,3400,3817,4349,5164,5951,6389,6363
"강력범죄","살인기수",계,소계,449,446,377,447,389,379,344,350,345,341
"강력범죄","살인기수",없음,소계,207,133,122,135,112,116,105,105,101,87
"강력범죄","살인기수",전과있음,소계,242,240,189,213,203,196,166,170,152,163
"강력범죄","살인기수",전과있음,1범,49,40,52,44,44,45,37,39,38,33
"강력범죄","살인기수",전과있음,2범,28,37,18,31,30,30,28,23,18,19
"강력범죄","살인기수",전과있음,3범,30,30,24,24,22,17,11,21,18,9
"강력범죄","살인기수",전과있음,4범,27,18,18,13,17,11,11,17,17,20
"강력범죄","살인기수",전과있음,5범,17,12,10,16,13,19,11,11,4,11
"강력범죄","살인기수",전과있음,6범,17,16,7,9,16,8,12,12,3,9
"강력범죄","살인기수",전과있음,7범,11,9,11,9,10,11,4,9,4,8
"강력범죄","살인기수",전과있음,8범,12,15,3,13,3,9,2,4,3,3
"강력범죄","살인기수",전과있음,9범이상,51,63,46,54,48,46,50,34,47,51
"강력범죄","살인기수",미상,소계,-,73,66,99,74,67,73,75,92,91
"강력범죄","살인미수등",계,소계,836,610,620,575,586,616,561,516,525,454
"강력범죄","살인미수등",없음,소계,265,145,141,120,126,152,157,152,122,127
"강력범죄","살인미수등",전과있음,소계,571,423,431,389,400,399,345,304,319,245
"강력범죄","살인미수등",전과있음,1범,94,69,69,57,68,67,62,53,68,45
"강력범죄","살인미수등",전과있음,2범,56,45,46,38,38,50,43,47,34,29
"강력범죄","살인미수등",전과있음,3범,55,42,39,37,55,44,33,23,30,19
"강력범죄","살인미수등",전과있음,4범,35,25,35,30,25,30,30,25,25,23
"강력범죄","살인미수등",전과있음,5범,46,35,23,28,24,35,27,18,20,17
"강력범죄","살인미수등",전과있음,6범,45,33,27,26,28,19,19,19,19,15
"강력범죄","살인미수등",전과있음,7범,31,19,27,19,19,24,18,11,17,13
"강력범죄","살인미수등",전과있음,8범,33,20,20,20,15,21,11,12,8,10
"강력범죄","살인미수등",전과있음,9범이상,176,135,145,134,128,109,102,96,98,74
"강력범죄","살인미수등",미상,소계,-,42,48,66,60,65,59,60,84,82
"강력범죄","강도",계,소계,4890,3322,2593,2078,1999,1716,1456,1165,1336,1202
"강력범죄","강도",없음,소계,1606,754,537,409,441,318,320,243,308,310
"강력범죄","강도",전과있음,소계,3284,2343,1841,1500,1407,1243,1001,800,903,745
"강력범죄","강도",전과있음,1범,547,380,307,230,200,181,162,133,129,126
"강력범죄","강도",전과있음,2범,382,289,208,180,149,134,127,72,102,93
"강력범죄","강도",전과있음,3범,350,237,156,139,134,101,87,77,104,73
"강력범죄","강도",전과있음,4범,290,178,140,113,104,98,78,52,79,55
"강력범죄","강도",전과있음,5범,273,182,121,91,82,82,70,55,59,39
"강력범죄","강도",전과있음,6범,192,165,113,95,67,72,57,39,67,29
"강력범죄","강도",전과있음,7범,191,113,114,73,65,52,42,32,33,32
"강력범죄","강도",전과있음,8범,160,120,82,51,66,52,42,37,30,22
"강력범죄","강도",전과있음,9범이상,899,679,600,528,540,471,336,303,300,276
"강력범죄","강도",미상,소계,-,225,215,169,151,155,135,122,125,147
"강력범죄","강간·강제추행",계,소계,17652,18012,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",없음,소계,9013,5160,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",전과있음,소계,8639,8994,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",전과있음,1범,2155,2138,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",전과있음,2범,1402,1498,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",전과있음,3범,1050,1044,-,-,-,-,-,-,-,-
