"죄종별(1)","죄종별(2)","재범종류별(1)",재범기간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"계","소계","계",계,822673,862625,871076,833458,844015,881941,796882,712811,701101,661301
"계","소계","동종",계,292731,290881,293431,272582,271767,275237,248437,221167,210162,197950
"계","소계","동종",1개월이내,13342,14843,13395,10983,11001,12206,10523,9997,9980,10643
"계","소계","동종",3개월이내,19064,20221,17813,15180,15808,17481,15653,13945,13694,13604
"계","소계","동종",6개월이내,17744,18613,18293,17767,17602,18912,17545,15457,14732,14132
"계","소계","동종",1년이내,62707,61399,61953,58135,58513,61494,55943,49150,48501,45941
"계","소계","동종",2년이내,38801,35979,34746,34112,33285,33484,30103,28224,26886,22855
"계","소계","동종",3년이내,40255,38152,40608,33083,32344,32866,29907,27133,26887,23882
"계","소계","동종",3년초과,100818,101674,106623,103322,103214,98794,88763,77261,69482,66893
"계","소계","이종",계,529942,571744,577645,560876,572248,606704,548445,491644,490939,463351
"계","소계","이종",1개월이내,9816,15101,11717,10238,10035,10501,8923,7324,7239,7411
"계","소계","이종",3개월이내,17958,19378,18392,16165,17380,19464,17457,14139,13353,12971
"계","소계","이종",6개월이내,19441,22002,22551,22084,23024,24592,22737,19180,17756,16561
"계","소계","이종",1년이내,79810,80986,82691,82650,85254,92500,83788,72986,70575,67168
"계","소계","이종",2년이내,62329,60940,59150,60242,61733,65562,58415,54521,52753,45693
"계","소계","이종",3년이내,69497,72774,76042,63708,64190,69399,62255,56582,57950,52600
"계","소계","이종",3년초과,271091,300563,307102,305789,310632,324686,294870,266912,271313,260947
"강력범죄","소계","계",계,13333,13240,14528,13966,14009,14336,14694,13799,13847,12904
"강력범죄","소계","동종",계,2566,2393,2017,1686,1565,1487,1714,1945,2037,1863
"강력범죄","소계","동종",1개월이내,209,223,121,93,82,66,77,116,99,111
"강력범죄","소계","동종",3개월이내,215,206,153,100,87,101,116,142,137,133
"강력범죄","소계","동종",6개월이내,155,168,166,136,131,103,119,140,138,136
"강력범죄","소계","동종",1년이내,610,560,446,348,348,339,367,418,495,444
"강력범죄","소계","동종",2년이내,303,301,263,259,202,237,263,304,278,239
