연도,범죄명,재범발생횟수
2011,강간,0
2011,강간·강제추행,8324
2011,강도,3230
2011,강제추행,0
2011,공갈,1949
2011,교통범죄,253502
2011,기타 강간·강제추행등,0
2011,기타범죄,111959
2011,노동범죄,1612
2011,도박범죄,31382
2011,마약범죄,3382
2011,문서·인장,5817
2011,방화,977
2011,배임,1721
2011,병역범죄,8792
2011,보건범죄,10024
2011,사기,74252
2011,살인기수,239
2011,살인미수등,563
2011,상해,59719
2011,선거범죄,174
2011,성풍속범죄,4388
2011,손괴,18905
2011,안보범죄,81
2011,약취·유인,165
2011,유가증권인지,270
2011,유사강간,0
2011,절도범죄,57431
2011,증수뢰,562
2011,직권남용,31
2011,직무유기,50
2011,체포·감금,419
2011,통화,53
2011,특별경제범죄,37610
2011,폭력행위등,53990
2011,폭행,58551
2011,협박,1608
2011,환경범죄,2029
2011,횡령,8912
2012,강간,0
2012,강간·강제추행,9209
2012,강도,2391
2012,강제추행,0
2012,공갈,3223
2012,교통범죄,259955
2012,기타 강간·강제추행등,0
2012,기타범죄,112974
2012,노동범죄,1506
2012,도박범죄,26402
2012,마약범죄,3395
2012,문서·인장,6025
2012,방화,963
2012,배임,1820
2012,병역범죄,10783
2012,보건범죄,10819
2012,사기,79849
2012,살인기수,248
2012,살인미수등,429
2012,상해,59179
2012,선거범죄,903
2012,성풍속범죄,6715
2012,손괴,20211
2012,안보범죄,83
2012,약취·유인,139
2012,유가증권인지,210
2012,유사강간,0
2012,절도범죄,58018
2012,증수뢰,396
2012,직권남용,42
2012,직무유기,80
2012,체포·감금,498
2012,통화,78
2012,특별경제범죄,45000
2012,폭력행위등,59117
2012,폭행,67122
2012,협박,2171
2012,환경범죄,2127
2012,횡령,10545
2013,강간,3023
2013,강간·강제추행,0
2013,강도,1887
2013,강제추행,6793
2013,공갈,1833
2013,교통범죄,275880
2013,기타 강간·강제추행등,1157
2013,기타범죄,114621
2013,노동범죄,1394
2013,도박범죄,22379
2013,마약범죄,3539
2013,문서·인장,6602
2013,방화,961
2013,배임,2094
2013,병역범죄,13022
2013,보건범죄,13413
2013,사기,85967
2013,살인기수,196
2013,살인미수등,434
2013,상해,52622
2013,선거범죄,199
2013,성풍속범죄,7223
2013,손괴,19887
2013,안보범죄,92
2013,약취·유인,117
2013,유가증권인지,174
2013,유사강간,77
2013,절도범죄,59482
2013,증수뢰,424
2013,직권남용,37
2013,직무유기,65
2013,체포·감금,513
2013,통화,91
2013,특별경제범죄,38951
2013,폭력행위등,51986
2013,폭행,67253
2013,협박,2147
2013,환경범죄,2484
2013,횡령,12057
2014,강간,2716
2014,강간·강제추행,0
2014,강도,1514
2014,강제추행,7239
2014,공갈,2211
2014,교통범죄,258330
2014,기타 강간·강제추행등,696
2014,기타범죄,120899
2014,노동범죄,1225
2014,도박범죄,20669
2014,마약범죄,3462
2014,문서·인장,6442
2014,방화,1003
2014,배임,2762
2014,병역범죄,11390
2014,보건범죄,12088
2014,사기,85702
2014,살인기수,213
2014,살인미수등,391
2014,상해,45878
2014,선거범죄,1302
2014,성풍속범죄,5379
2014,손괴,19578
2014,안보범죄,45
2014,약취·유인,123
2014,유가증권인지,203
2014,유사강간,194
2014,절도범죄,53016
2014,증수뢰,387
2014,직권남용,37
2014,직무유기,43
2014,체포·감금,459
2014,통화,76
2014,특별경제범죄,41799
2014,폭력행위등,45358
2014,폭행,64896
2014,협박,2212
2014,환경범죄,2057
2014,횡령,11464
2015,강간,2666
2015,강간·강제추행,0
2015,강도,1425
2015,강제추행,7593
2015,공갈,1580
2015,교통범죄,256826
2015,기타 강간·강제추행등,387
2015,기타범죄,122654
2015,노동범죄,1295
2015,도박범죄,21225
2015,마약범죄,4458
2015,문서·인장,6293
2015,방화,1075
2015,배임,1966
2015,병역범죄,11454
2015,보건범죄,11009
2015,사기,90102
2015,살인기수,209
2015,살인미수등,400
2015,상해,41842
2015,선거범죄,612
2015,성풍속범죄,5147
2015,손괴,20169
2015,안보범죄,95
2015,약취·유인,112
2015,유가증권인지,146
2015,유사강간,254
2015,절도범죄,57047
2015,증수뢰,330
2015,직권남용,31
2015,직무유기,51
2015,체포·감금,539
2015,통화,79
2015,특별경제범죄,41454
2015,폭력행위등,41346
2015,폭행,72047
2015,협박,4553
2015,환경범죄,2132
2015,횡령,13412
2016,강간,2676
2016,강간·강제추행,0
2016,강도,1250
2016,강제추행,8268
2016,공갈,2000
2016,교통범죄,260344
2016,기타 강간·강제추행등,315
2016,기타범죄,158595
2016,노동범죄,2451
2016,도박범죄,23093
2016,마약범죄,5305
2016,문서·인장,5915
2016,방화,935
2016,배임,1897
2016,병역범죄,9440
2016,보건범죄,11204
2016,사기,87713
2016,살인기수,198
2016,살인미수등,398
2016,상해,44716
2016,선거범죄,662
2016,성풍속범죄,4793
2016,손괴,22102
2016,안보범죄,49
2016,약취·유인,135
2016,유가증권인지,125
2016,유사강간,296
2016,절도범죄,59090
2016,증수뢰,378
2016,직권남용,29
2016,직무유기,40
2016,체포·감금,844
2016,통화,65
2016,특별경제범죄,38389
2016,폭력행위등,20737
2016,폭행,82208
2016,협박,9494
2016,환경범죄,2538
2016,횡령,13254
2017,강간,2595
2017,강간·강제추행,0
2017,강도,1028
2017,강제추행,9168
2017,공갈,1872
2017,교통범죄,224720
2017,기타 강간·강제추행등,199
2017,기타범죄,136641
2017,노동범죄,2019
2017,도박범죄,17029
2017,마약범죄,5487
2017,문서·인장,4964
2017,방화,858
2017,배임,1992
2017,병역범죄,8173
2017,보건범죄,9377
2017,사기,82948
2017,살인기수,168
2017,살인미수등,349
2017,상해,39709
2017,선거범죄,380
2017,성풍속범죄,5126
2017,손괴,21845
2017,안보범죄,165
2017,약취·유인,126
2017,유가증권인지,126
2017,유사강간,329
2017,절도범죄,59461
2017,증수뢰,552
2017,직권남용,54
2017,직무유기,31
2017,체포·감금,894
2017,통화,118
2017,특별경제범죄,36691
2017,폭력행위등,18276
2017,폭행,78850
2017,협박,9076
2017,환경범죄,2918
2017,횡령,12568
2018,강간,2451
2018,강간·강제추행,0
2018,강도,829
2018,강제추행,8501
2018,공갈,1682
2018,교통범죄,179640
2018,기타 강간·강제추행등,255
2018,기타범죄,115109
2018,노동범죄,998
2018,도박범죄,13953
2018,마약범죄,4638
2018,문서·인장,4506
2018,방화,910
2018,배임,1724
2018,병역범죄,7272
2018,보건범죄,7599
2018,사기,88559
