범죄명,연도,검거기간,범죄종류,범죄자수
살인기수,2011,1일이내,강력범죄,217
살인기수,2011,2일이내,강력범죄,13
살인기수,2011,3일이내,강력범죄,11
살인기수,2011,10일이내,강력범죄,35
살인기수,2011,1개월이내,강력범죄,29
살인기수,2011,3개월이내,강력범죄,38
살인기수,2011,6개월이내,강력범죄,18
살인기수,2011,1년이내,강력범죄,8
살인기수,2011,1년초과,강력범죄,26
살인미수등,2011,1일이내,강력범죄,511
살인미수등,2011,2일이내,강력범죄,16
살인미수등,2011,3일이내,강력범죄,16
살인미수등,2011,10일이내,강력범죄,69
살인미수등,2011,1개월이내,강력범죄,49
살인미수등,2011,3개월이내,강력범죄,33
살인미수등,2011,6개월이내,강력범죄,22
살인미수등,2011,1년이내,강력범죄,18
살인미수등,2011,1년초과,강력범죄,25
강도,2011,1일이내,강력범죄,1078
강도,2011,2일이내,강력범죄,120
강도,2011,3일이내,강력범죄,101
강도,2011,10일이내,강력범죄,479
강도,2011,1개월이내,강력범죄,609
강도,2011,3개월이내,강력범죄,430
강도,2011,6개월이내,강력범죄,173
강도,2011,1년이내,강력범죄,141
강도,2011,1년초과,강력범죄,253
강도,2011,미상,강력범죄,1
강간·강제추행,2011,1일이내,강력범죄,8062
강간·강제추행,2011,2일이내,강력범죄,388
강간·강제추행,2011,3일이내,강력범죄,349
강간·강제추행,2011,10일이내,강력범죄,1697
강간·강제추행,2011,1개월이내,강력범죄,2003
강간·강제추행,2011,3개월이내,강력범죄,1798
강간·강제추행,2011,6개월이내,강력범죄,811
강간·강제추행,2011,1년이내,강력범죄,545
강간·강제추행,2011,1년초과,강력범죄,751
강간,2011,1일이내,강력범죄,0
강간,2011,2일이내,강력범죄,0
강간,2011,3일이내,강력범죄,0
강간,2011,10일이내,강력범죄,0
강간,2011,1개월이내,강력범죄,0
강간,2011,3개월이내,강력범죄,0
강간,2011,6개월이내,강력범죄,0
강간,2011,1년이내,강력범죄,0
강간,2011,1년초과,강력범죄,0
유사강간,2011,1일이내,강력범죄,0
유사강간,2011,2일이내,강력범죄,0
유사강간,2011,3일이내,강력범죄,0
유사강간,2011,10일이내,강력범죄,0
유사강간,2011,1개월이내,강력범죄,0
유사강간,2011,3개월이내,강력범죄,0
유사강간,2011,6개월이내,강력범죄,0
유사강간,2011,1년이내,강력범죄,0
유사강간,2011,1년초과,강력범죄,0
강제추행,2011,1일이내,강력범죄,0
강제추행,2011,2일이내,강력범죄,0
강제추행,2011,3일이내,강력범죄,0
강제추행,2011,10일이내,강력범죄,0
강제추행,2011,1개월이내,강력범죄,0
강제추행,2011,3개월이내,강력범죄,0
강제추행,2011,6개월이내,강력범죄,0
강제추행,2011,1년이내,강력범죄,0
강제추행,2011,1년초과,강력범죄,0
기타 강간·강제추행등,2011,1일이내,강력범죄,0
기타 강간·강제추행등,2011,2일이내,강력범죄,0
기타 강간·강제추행등,2011,3일이내,강력범죄,0
기타 강간·강제추행등,2011,10일이내,강력범죄,0
기타 강간·강제추행등,2011,1개월이내,강력범죄,0
기타 강간·강제추행등,2011,3개월이내,강력범죄,0
기타 강간·강제추행등,2011,6개월이내,강력범죄,0
기타 강간·강제추행등,2011,1년이내,강력범죄,0
기타 강간·강제추행등,2011,1년초과,강력범죄,0
방화,2011,1일이내,강력범죄,887
방화,2011,2일이내,강력범죄,37
방화,2011,3일이내,강력범죄,28
방화,2011,10일이내,강력범죄,129
방화,2011,1개월이내,강력범죄,145
방화,2011,3개월이내,강력범죄,129
방화,2011,6개월이내,강력범죄,53
방화,2011,1년이내,강력범죄,34
방화,2011,1년초과,강력범죄,41
절도범죄,2011,1일이내,절도범죄,29610
절도범죄,2011,2일이내,절도범죄,4017
절도범죄,2011,3일이내,절도범죄,3295
절도범죄,2011,10일이내,절도범죄,15524
절도범죄,2011,1개월이내,절도범죄,20611
절도범죄,2011,3개월이내,절도범죄,19548
절도범죄,2011,6개월이내,절도범죄,9232
절도범죄,2011,1년이내,절도범죄,5615
절도범죄,2011,1년초과,절도범죄,5395
절도범죄,2011,미상,절도범죄,2
상해,2011,1일이내,폭력범죄,30740
상해,2011,2일이내,폭력범죄,1416
상해,2011,3일이내,폭력범죄,1647
상해,2011,10일이내,폭력범죄,8005
상해,2011,1개월이내,폭력범죄,10063
상해,2011,3개월이내,폭력범죄,6556
상해,2011,6개월이내,폭력범죄,1655
상해,2011,1년이내,폭력범죄,908
상해,2011,1년초과,폭력범죄,962
상해,2011,미상,폭력범죄,0
폭행,2011,1일이내,폭력범죄,86171
폭행,2011,2일이내,폭력범죄,1605
폭행,2011,3일이내,폭력범죄,2187
폭행,2011,10일이내,폭력범죄,8541
폭행,2011,1개월이내,폭력범죄,8453
폭행,2011,3개월이내,폭력범죄,5165
폭행,2011,6개월이내,폭력범죄,1290
폭행,2011,1년이내,폭력범죄,627
폭행,2011,1년초과,폭력범죄,474
폭행,2011,미상,폭력범죄,1
체포·감금,2011,1일이내,폭력범죄,277
체포·감금,2011,2일이내,폭력범죄,17
체포·감금,2011,3일이내,폭력범죄,10
체포·감금,2011,10일이내,폭력범죄,53
체포·감금,2011,1개월이내,폭력범죄,111
체포·감금,2011,3개월이내,폭력범죄,113
체포·감금,2011,6개월이내,폭력범죄,47
체포·감금,2011,1년이내,폭력범죄,26
체포·감금,2011,1년초과,폭력범죄,66
협박,2011,1일이내,폭력범죄,752
협박,2011,2일이내,폭력범죄,33
협박,2011,3일이내,폭력범죄,50
협박,2011,10일이내,폭력범죄,307
협박,2011,1개월이내,폭력범죄,567
협박,2011,3개월이내,폭력범죄,711
협박,2011,6개월이내,폭력범죄,298
협박,2011,1년이내,폭력범죄,216
협박,2011,1년초과,폭력범죄,209
약취·유인,2011,1일이내,폭력범죄,75
약취·유인,2011,2일이내,폭력범죄,7
약취·유인,2011,3일이내,폭력범죄,9
약취·유인,2011,10일이내,폭력범죄,25
약취·유인,2011,1개월이내,폭력범죄,24
약취·유인,2011,3개월이내,폭력범죄,35
약취·유인,2011,6개월이내,폭력범죄,23
약취·유인,2011,1년이내,폭력범죄,7
약취·유인,2011,1년초과,폭력범죄,18
폭력행위등,2011,1일이내,폭력범죄,23740
폭력행위등,2011,2일이내,폭력범죄,773
폭력행위등,2011,3일이내,폭력범죄,754
폭력행위등,2011,10일이내,폭력범죄,3715
폭력행위등,2011,1개월이내,폭력범죄,4676
폭력행위등,2011,3개월이내,폭력범죄,3625
폭력행위등,2011,6개월이내,폭력범죄,1231
폭력행위등,2011,1년이내,폭력범죄,796
폭력행위등,2011,1년초과,폭력범죄,862
폭력행위등,2011,미상,폭력범죄,0
공갈,2011,1일이내,폭력범죄,626
공갈,2011,2일이내,폭력범죄,53
공갈,2011,3일이내,폭력범죄,41
공갈,2011,10일이내,폭력범죄,261
공갈,2011,1개월이내,폭력범죄,441
공갈,2011,3개월이내,폭력범죄,597
공갈,2011,6개월이내,폭력범죄,380
공갈,2011,1년이내,폭력범죄,247
공갈,2011,1년초과,폭력범죄,592
손괴,2011,1일이내,폭력범죄,14740
손괴,2011,2일이내,폭력범죄,372
손괴,2011,3일이내,폭력범죄,457
손괴,2011,10일이내,폭력범죄,2332
손괴,2011,1개월이내,폭력범죄,3245
손괴,2011,3개월이내,폭력범죄,2851
손괴,2011,6개월이내,폭력범죄,882
손괴,2011,1년이내,폭력범죄,485
