시도명,성별,인구수
서울특별시,남자,4546159
서울특별시,남자,120315
서울특별시,남자,163028
서울특별시,남자,179199
서울특별시,남자,188984
서울특별시,남자,286012
서울특별시,남자,396655
서울특별시,남자,372348
서울특별시,남자,340991
서울특별시,남자,358125
서울특별시,남자,353111
서울특별시,남자,386832
서울특별시,남자,343764
서울특별시,남자,341546
서울특별시,남자,265169
서울특별시,남자,185778
서울특별시,남자,133253
서울특별시,남자,131049
서울특별시,남자,86926
서울특별시,남자,33649
서울특별시,남자,8691
서울특별시,남자,1566
서울특별시,남자,217
서울특별시,여자,4865284
서울특별시,여자,112751
서울특별시,여자,155915
서울특별시,여자,168980
서울특별시,여자,181765
서울특별시,여자,336284
서울특별시,여자,431441
서울특별시,여자,374773
서울특별시,여자,339274
서울특별시,여자,359747
서울특별시,여자,360651
서울특별시,여자,401657
서울특별시,여자,361870
서울특별시,여자,379156
서울특별시,여자,303900
서울특별시,여자,218673
서울특별시,여자,165708
서울특별시,여자,212739
서울특별시,여자,119300
서울특별시,여자,62875
서울특별시,여자,23931
서울특별시,여자,5757
서울특별시,여자,876
부산광역시,남자,1610038
부산광역시,남자,42667
부산광역시,남자,64499
부산광역시,남자,66879
부산광역시,남자,66539
부산광역시,남자,102595
부산광역시,남자,115645
부산광역시,남자,102631
부산광역시,남자,103579
부산광역시,남자,125012
부산광역시,남자,120803
부산광역시,남자,133399
부산광역시,남자,125999
부산광역시,남자,139024
부산광역시,남자,113571
부산광역시,남자,81451
부산광역시,남자,54558
부산광역시,남자,51187
부산광역시,남자,34729
부산광역시,남자,12977
부산광역시,남자,2994
부산광역시,남자,435
부산광역시,남자,52
부산광역시,여자,1689358
부산광역시,여자,40501
부산광역시,여자,61353
부산광역시,여자,63230
부산광역시,여자,61929
부산광역시,여자,97959
부산광역시,여자,104594
부산광역시,여자,95047
부산광역시,여자,98178
부산광역시,여자,120604
부산광역시,여자,120426
부산광역시,여자,140019
부산광역시,여자,136434
부산광역시,여자,157704
부산광역시,여자,129645
부산광역시,여자,96681
부산광역시,여자,68869
부산광역시,여자,96185
부산광역시,여자,53837
부산광역시,여자,28746
부산광역시,여자,10982
부산광역시,여자,2333
부산광역시,여자,287
대구광역시,남자,1163913
대구광역시,남자,32616
대구광역시,남자,49875
대구광역시,남자,54162
대구광역시,남자,56789
대구광역시,남자,79968
대구광역시,남자,83989
대구광역시,남자,75667
대구광역시,남자,73876
대구광역시,남자,87203
대구광역시,남자,92236
대구광역시,남자,104481
대구광역시,남자,96603
대구광역시,남자,94283
대구광역시,남자,68791
대구광역시,남자,48733
대구광역시,남자,31216
대구광역시,남자,33425
대구광역시,남자,21698
대구광역시,남자,9299
대구광역시,남자,2093
대구광역시,남자,308
대구광역시,남자,27
대구광역시,여자,1199507
대구광역시,여자,30807
대구광역시,여자,47689
대구광역시,여자,50942
대구광역시,여자,51809
대구광역시,여자,71002
대구광역시,여자,73221
대구광역시,여자,64450
대구광역시,여자,69281
대구광역시,여자,88368
대구광역시,여자,95296
대구광역시,여자,109704
대구광역시,여자,101538
대구광역시,여자,101452
대구광역시,여자,77845
대구광역시,여자,58911
대구광역시,여자,42624
대구광역시,여자,64568
대구광역시,여자,35717
대구광역시,여자,20046
대구광역시,여자,7194
대구광역시,여자,1431
대구광역시,여자,180
인천광역시,남자,1483547
인천광역시,남자,45092
인천광역시,남자,64121
인천광역시,남자,69538
인천광역시,남자,67858
인천광역시,남자,87980
인천광역시,남자,111331
인천광역시,남자,108284
인천광역시,남자,109099
인천광역시,남자,125808
인천광역시,남자,121413
인천광역시,남자,130006
인천광역시,남자,123043
인천광역시,남자,120892
인천광역시,남자,79978
인천광역시,남자,51052
인천광역시,남자,34261
인천광역시,남자,33791
인천광역시,남자,21785
인천광역시,남자,9156
