지역,종류,날짜,수치
강원도,미세먼지 PM10,2019.01,55.76923076923077
강원도,미세먼지 PM2.5,2019.01,31.923076923076923
강원도,아황산가스,2019.01,0.0033846153846153844
강원도,오존,2019.01,0.022153846153846156
강원도,이산화질소,2019.01,0.01846153846153846
강원도,일산화탄소,2019.01,0.6307692307692307
경기도,미세먼지 PM10,2019.01,73.1875
경기도,미세먼지 PM2.5,2019.01,42.0
경기도,아황산가스,2019.01,0.004625
경기도,오존,2019.01,0.01325
경기도,이산화질소,2019.01,0.034375
경기도,일산화탄소,2019.01,0.728125
경상남도,미세먼지 PM10,2019.01,47.06666666666667
경상남도,미세먼지 PM2.5,2019.01,23.4
경상남도,아황산가스,2019.01,0.0037333333333333333
경상남도,오존,2019.01,0.0254
경상남도,이산화질소,2019.01,0.019466666666666667
경상남도,일산화탄소,2019.01,0.52
경상북도,미세먼지 PM10,2019.01,64.0
경상북도,미세먼지 PM2.5,2019.01,35.1
경상북도,아황산가스,2019.01,0.004399999999999999
경상북도,오존,2019.01,0.023
경상북도,이산화질소,2019.01,0.0194
경상북도,일산화탄소,2019.01,0.5700000000000001
광주광역시,미세먼지 PM10,2019.01,53.0
광주광역시,미세먼지 PM2.5,2019.01,33.0
광주광역시,아황산가스,2019.01,0.003
광주광역시,오존,2019.01,0.021
광주광역시,이산화질소,2019.01,0.025
광주광역시,일산화탄소,2019.01,0.6
대구광역시,미세먼지 PM10,2019.01,57.0
대구광역시,미세먼지 PM2.5,2019.01,33.0
대구광역시,아황산가스,2019.01,0.004
대구광역시,오존,2019.01,0.017
대구광역시,이산화질소,2019.01,0.029
대구광역시,일산화탄소,2019.01,0.7
대전광역시,미세먼지 PM10,2019.01,66.0
대전광역시,미세먼지 PM2.5,2019.01,34.0
대전광역시,아황산가스,2019.01,0.004
대전광역시,오존,2019.01,0.013
대전광역시,이산화질소,2019.01,0.029
대전광역시,일산화탄소,2019.01,0.6
부산광역시,미세먼지 PM10,2019.01,48.0
부산광역시,미세먼지 PM2.5,2019.01,29.0
부산광역시,아황산가스,2019.01,0.005
부산광역시,오존,2019.01,0.023
부산광역시,이산화질소,2019.01,0.024
부산광역시,일산화탄소,2019.01,0.4
서울특별시,미세먼지 PM10,2019.01,66.0
서울특별시,미세먼지 PM2.5,2019.01,38.0
서울특별시,아황산가스,2019.01,0.005
서울특별시,오존,2019.01,0.012
서울특별시,이산화질소,2019.01,0.039
서울특별시,일산화탄소,2019.01,0.8
세종특별자치시,미세먼지 PM10,2019.01,70.0
세종특별자치시,미세먼지 PM2.5,2019.01,41.0
세종특별자치시,아황산가스,2019.01,0.004
세종특별자치시,오존,2019.01,0.014
세종특별자치시,이산화질소,2019.01,0.024
