"수계별(1)","수계별(2)",항목,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12
"한강","화천댐1(파로호)",생물화학적산소요구량 BOD (㎎/ℓ),0.7,1.1,1.1,0.9,0.6,0.4,0.6,0.4,0.7
"한강","화천댐1(파로호)",용존산소 DO (㎎/ℓ),11.4,10.9,9.5,10.2,8.5,8.4,7.9,8.8,10.5
"한강","화천댐1(파로호)",수온 (℃),9.8,14.0,13.2,15.4,17.3,16.7,17.5,14.1,9.3
"한강","화천댐1(파로호)",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","화천댐1(파로호)",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","화천댐1(파로호)",납 Pb (㎎/ℓ),-,-,0.00045,-,-,0.00024,-,-,0.00301
"한강","화천댐1(파로호)",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","화천댐1(파로호)",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00020,-,-,0.00206
"한강","화천댐1(파로호)",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","화천댐2",생물화학적산소요구량 BOD (㎎/ℓ),0.9,1.2,1.1,0.9,0.5,0.4,0.4,0.4,0.6
"한강","화천댐2",용존산소 DO (㎎/ℓ),11.6,11.4,10.3,9.8,8.6,8.2,7.4,8.0,10.5
"한강","화천댐2",수온 (℃),9.6,12.3,13.3,14.2,16.9,17.2,15.2,12.7,9.5
"한강","화천댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","화천댐2",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","화천댐2",납 Pb (㎎/ℓ),-,-,0.00100,-,-,0.00067,-,-,0.00244
"한강","화천댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","화천댐2",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00059,-,-,0.00000
"한강","화천댐2",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","화천댐3",생물화학적산소요구량 BOD (㎎/ℓ),0.9,1.2,1.4,0.9,1.0,0.3,0.4,0.5,0.5
"한강","화천댐3",용존산소 DO (㎎/ℓ),11.6,11.3,10.7,9.6,8.6,7.6,7.1,9.3,10.4
"한강","화천댐3",수온 (℃),9.5,14.2,13.7,13.8,17.5,15.6,19.0,14.2,9.7
"한강","화천댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00001,-,-,0.00002,-,-,0.00000
"한강","화천댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","화천댐3",납 Pb (㎎/ℓ),-,-,0.00049,-,-,0.00015,-,-,0.00332
"한강","화천댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","화천댐3",비소 As (㎎/ℓ),-,-,0.00045,-,-,0.00227,-,-,0.00000
"한강","화천댐3",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","춘천댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.9,1.1,1.4,0.7,2.6,1.4,0.5,0.7,0.5
"한강","춘천댐1",용존산소 DO (㎎/ℓ),12.1,10.6,9.5,9.6,9.1,9.2,9.6,9.1,11.1
"한강","춘천댐1",수온 (℃),9.5,17.6,24.4,28.5,32.3,24.3,20.3,15.0,8.7
"한강","춘천댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","춘천댐1",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","춘천댐1",납 Pb (㎎/ℓ),-,-,0.00180,-,-,0.00161,-,-,0.00421
"한강","춘천댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","춘천댐1",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00197,-,-,0.00000
"한강","춘천댐1",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","춘천댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.6,0.8,1.4,0.6,1.8,1.4,0.4,0.6,0.5
"한강","춘천댐2",용존산소 DO (㎎/ℓ),12.4,10.6,9.6,8.4,7.7,7.7,8.2,8.4,10.9
"한강","춘천댐2",수온 (℃),9.1,18.3,24.9,24.6,27.1,22.6,20.5,15.0,8.4
"한강","춘천댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","춘천댐2",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","춘천댐2",납 Pb (㎎/ℓ),-,-,0.00354,-,-,0.00077,-,-,0.00318
"한강","춘천댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","춘천댐2",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","춘천댐2",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","춘천댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.6,1.9,1.8,1.1,2.3,2.4,0.5,1.1,0.7
"한강","춘천댐3",용존산소 DO (㎎/ℓ),12.3,11.0,10.2,9.9,8.8,12.0,8.9,9.9,11.8
"한강","춘천댐3",수온 (℃),10.2,17.7,25.7,30.5,32.3,24.7,20.1,14.3,7.5
"한강","춘천댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00004,-,-,0.00000,-,-,0.00000
"한강","춘천댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","춘천댐3",납 Pb (㎎/ℓ),-,-,0.00021,-,-,0.00054,-,-,0.00375
"한강","춘천댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","춘천댐3",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","춘천댐3",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","소양강댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.4,1.0,1.2,1.0,0.5,0.2,0.4,0.9,0.6
"한강","소양강댐1",용존산소 DO (㎎/ℓ),8.4,8.3,7.8,6.2,7.4,7.2,5.9,6.2,6.3
"한강","소양강댐1",수온 (℃),5.5,6.8,8.7,9.9,11.4,11.3,11.8,12.0,10.6
"한강","소양강댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐1",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","소양강댐1",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","소양강댐1",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐1",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","소양강댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.6,1.3,0.8,0.7,0.5,0.3,0.5,0.9,0.5
"한강","소양강댐2",용존산소 DO (㎎/ℓ),10.2,9.6,9.0,8.8,7.7,6.5,6.2,7.0,7.2
"한강","소양강댐2",수온 (℃),5.7,6.9,8.5,10.0,12.4,14.1,15.7,14.4,11.5
"한강","소양강댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
