"수계별(1)","수계별(2)",항목,2020.01,2020.02,2020.03
"한강","화천댐1(파로호)",생물화학적산소요구량 BOD (㎎/ℓ),0.4,0.5,0.3
"한강","화천댐1(파로호)",용존산소 DO (㎎/ℓ),10.7,11.9,12.1
"한강","화천댐1(파로호)",수온 (℃),6.5,5.4,7.3
"한강","화천댐1(파로호)",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","화천댐1(파로호)",시안 CN (㎎/ℓ),-,-,0.00
"한강","화천댐1(파로호)",납 Pb (㎎/ℓ),-,-,0.00339
"한강","화천댐1(파로호)",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","화천댐1(파로호)",비소 As (㎎/ℓ),-,-,0.00000
"한강","화천댐1(파로호)",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","화천댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.0,0.4,0.5
"한강","화천댐2",용존산소 DO (㎎/ℓ),10.5,11.9,12.1
"한강","화천댐2",수온 (℃),5.6,5.6,8.2
"한강","화천댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","화천댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","화천댐2",납 Pb (㎎/ℓ),-,-,0.00335
"한강","화천댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","화천댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","화천댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","화천댐3",생물화학적산소요구량 BOD (㎎/ℓ),0.5,0.5,0.3
"한강","화천댐3",용존산소 DO (㎎/ℓ),11.3,11.9,12.0
"한강","화천댐3",수온 (℃),5.9,5.1,8.1
"한강","화천댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","화천댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","화천댐3",납 Pb (㎎/ℓ),-,-,0.00457
"한강","화천댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","화천댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","화천댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","춘천댐1",생물화학적산소요구량 BOD (㎎/ℓ),-,-,1.2
"한강","춘천댐1",용존산소 DO (㎎/ℓ),-,-,11.9
"한강","춘천댐1",수온 (℃),-,-,10.1
"한강","춘천댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","춘천댐1",시안 CN (㎎/ℓ),-,-,0.00
"한강","춘천댐1",납 Pb (㎎/ℓ),-,-,0.00389
"한강","춘천댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","춘천댐1",비소 As (㎎/ℓ),-,-,0.00000
"한강","춘천댐1",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","춘천댐2",생물화학적산소요구량 BOD (㎎/ℓ),0.5,1.2,1.3
"한강","춘천댐2",용존산소 DO (㎎/ℓ),12.7,12.6,12.6
"한강","춘천댐2",수온 (℃),3.7,4.9,9.7
"한강","춘천댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","춘천댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","춘천댐2",납 Pb (㎎/ℓ),-,-,0.00408
"한강","춘천댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","춘천댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","춘천댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","춘천댐3",생물화학적산소요구량 BOD (㎎/ℓ),-,1.3,1.3
"한강","춘천댐3",용존산소 DO (㎎/ℓ),-,12.5,11.4
"한강","춘천댐3",수온 (℃),-,6.3,14.3
