시도명,배출방식,19년_사업장배출시설폐기물,19년_사업장생활폐기물수,19년_생활폐기물수,20년_사업장생활폐기물수,20년_사업장배출시설폐기물,20년_생활폐기물수
강원도,기타,217.2,84.2,16.4,50140.8,98363.4,6586.4
강원도,매립,628.8,115.4,1127.6,32602.6,245895.4,369244.6
강원도,소각,160.8,62.0,836.0,20117.0,74140.4,322714.0
강원도,재활용,11334.8,507.6,1752.6,212098.6,4083822.2,636822.0
경기도,기타,3278.4,496.8,74.6,550924.8,1767479.2,28812.2
경기도,매립,4517.2,149.0,1868.4,129938.4,2106979.6,680347.8
경기도,소각,4178.8,896.8,7253.2,383094.6,1704042.6,2811892.8
경기도,재활용,40401.4,5763.4,9891.6,2268798.2,17186961.4,4281980.0
경상남도,기타,946.2,41.6,0.0,234068.2,458749.4,27940.0
경상남도,매립,3499.6,64.0,1126.2,74770.8,1035599.2,441544.6
경상남도,소각,1498.8,144.6,2244.8,70062.8,528812.6,786563.4
경상남도,재활용,22904.8,1587.8,3734.6,455087.6,7900762.4,1284345.8
경상북도,기타,585.4,245.6,20.4,150536.0,272428.0,4050.0
경상북도,매립,3521.2,133.6,757.6,61371.4,1447520.4,214269.8
경상북도,소각,965.6,264.2,2143.4,166823.0,542733.2,912733.8
경상북도,재활용,42113.6,1761.2,1812.8,526635.6,26574478.4,675162.2
광주광역시,기타,583.8,21.4,0.0,4513.0,203447.6,0.0
광주광역시,매립,228.8,18.2,1038.0,2310.6,98560.2,340834.6
광주광역시,소각,96.6,48.0,27.2,30778.6,41827.4,27812.2
광주광역시,재활용,814.8,328.6,1255.2,110270.6,405633.8000000001,472672.0
대구광역시,기타,681.6,56.0,0.0,19869.2,266959.8,0.0
대구광역시,매립,1102.2,40.4,975.6,23907.8,348853.0,453342.0
대구광역시,소각,159.2,8.0,524.0,8053.8,41110.4,181683.4
대구광역시,재활용,3431.6000000000004,636.0,3636.2,343909.2,1147301.8,1241074.2
대전광역시,기타,296.2,64.4,27.2,7117.6,320896.8,0.0
대전광역시,매립,682.4,16.6,418.8,3722.0,247619.8,167079.2
대전광역시,소각,1660.0,37.4,372.2,15657.4,329424.8,98911.4
대전광역시,재활용,1632.4,222.6,1755.2,68792.0,566224.6,730313.0
부산광역시,기타,1435.2,0.0,0.0,44115.6,329216.4,0.0
부산광역시,매립,1447.6,44.4,198.0,36761.2,425847.0,77221.8
부산광역시,소각,265.6,179.2,842.4,89915.6,94054.2,324095.4
부산광역시,재활용,4870.6,526.4,4861.6,453411.6,1969930.6,1895471.2
서울특별시,기타,1845.2,156.4,19.0,19609.0,539579.8,680.0
서울특별시,매립,438.4,16.2,1940.8,3214.4,238136.0,691106.6
서울특별시,소각,457.2,161.6,4330.0,79898.8,124244.2,1595532.2
서울특별시,재활용,1865.2,2044.6,11026.2,622951.8,788430.6,4067921.2
세종특별자치시,기타,82.8,153.2,34.2,4255.6,23075.8,0.0
세종특별자치시,매립,258.0,0.0,15.6,37.8,86142.4,0.0
세종특별자치시,소각,131.0,16.0,170.0,13312.2,57146.8,58780.2
세종특별자치시,재활용,1991.2,51.0,430.8,21732.8,620160.8,177002.2
울산광역시,기타,243.6,76.4,2.4,35858.4,898263.2,0.0
울산광역시,매립,1518.0,58.4,309.0,448.0,462659.8,82621.4
울산광역시,소각,950.4,264.8,961.0,36915.0,396922.0,341433.4
울산광역시,재활용,10800.2,310.0,1262.6,97355.6,7050482.2,420618.4
인천광역시,기타,659.6,157.4,0.0,22308.4,397236.4,0.0
인천광역시,매립,4753.0,137.8,676.2,10523.4,1265132.8,225731.2
인천광역시,소각,812.0,793.4,1033.2,135408.8,286194.0,439269.4
인천광역시,재활용,18975.0,1081.8,2118.2,688298.4,6378478.4,798700.8
전라남도,기타,622.2,29.0,25.2,41163.0,276330.0,43234.6
전라남도,매립,1532.8,135.6,1393.4,41952.4,380297.2,472366.4
전라남도,소각,551.6,68.2,670.6,96516.0,220164.8,274258.0
전라남도,재활용,72768.0,522.4,1351.2,423456.2,28132491.4,510182.0
전라북도,기타,243.6,15.2,77.6,77576.8,159942.2,0.0
전라북도,매립,1744.6,54.8,627.6,11124.2,465496.8,238130.4
전라북도,소각,634.6,109.0,902.0,72200.8,1050039.6,360287.4
전라북도,재활용,13332.6,766.0,1549.0,245377.6,4033788.2,625708.0
제주특별자치도,기타,120.8,1.0,0.0,8735.6,12706.4,0.0
제주특별자치도,매립,120.0,50.6,118.4,14533.4,71842.0,38294.0
제주특별자치도,소각,151.2,242.0,521.2,20119.8,84235.0,273389.2
제주특별자치도,재활용,624.4,255.0,1278.8,87679.2,260235.4,523796.2
충청남도,기타,4031.8,111.6,42.8,39143.2,498085.0,2939.4
충청남도,매립,10250.8,127.8,257.8,5861.8,1920770.0,135427.0
충청남도,소각,1491.0,193.4,2006.8,110466.6,493509.2,760586.2
충청남도,재활용,74522.8,636.0,2268.6,381190.4,25566060.0,634348.0
충청북도,기타,1248.2,135.8,0.2,13972.8,522273.4,1151.4
충청북도,매립,908.0,2.2,658.0,3077.4,467990.6,221174.2
충청북도,소각,2201.4,146.8,1364.8,40787.0,892614.6,547695.0
충청북도,재활용,12215.6,451.8,1789.2,305257.6,3749176.2,548888.6
