시도명,배출방식,시점,사업장생활폐기물수,사업장배출시설폐기물수,생활폐기물수
강원도,기타,2020,50140.8,98363.4,6586.4
강원도,매립,2020,32602.6,245895.4,369244.6
강원도,소각,2020,20117.0,74140.4,322714.0
강원도,재활용,2020,212098.6,4083822.2,636822.0
경기도,기타,2020,550924.8,1767479.2,28812.2
경기도,매립,2020,129938.4,2106979.6,680347.8
경기도,소각,2020,383094.6,1704042.6,2811892.8
경기도,재활용,2020,2268798.2,17186961.4,4281980.0
경상남도,기타,2020,234068.2,458749.4,27940.0
경상남도,매립,2020,74770.8,1035599.2,441544.6
경상남도,소각,2020,70062.8,528812.6,786563.4
경상남도,재활용,2020,455087.6,7900762.4,1284345.8
경상북도,기타,2020,150536.0,272428.0,4050.0
경상북도,매립,2020,61371.4,1447520.4,214269.8
경상북도,소각,2020,166823.0,542733.2,912733.8
경상북도,재활용,2020,526635.6,26574478.4,675162.2
광주광역시,기타,2020,4513.0,203447.6,0.0
광주광역시,매립,2020,2310.6,98560.2,340834.6
광주광역시,소각,2020,30778.6,41827.4,27812.2
광주광역시,재활용,2020,110270.6,405633.8000000001,472672.0
대구광역시,기타,2020,19869.2,266959.8,0.0
대구광역시,매립,2020,23907.8,348853.0,453342.0
대구광역시,소각,2020,8053.8,41110.4,181683.4
대구광역시,재활용,2020,343909.2,1147301.8,1241074.2
대전광역시,기타,2020,7117.6,320896.8,0.0
대전광역시,매립,2020,3722.0,247619.8,167079.2
대전광역시,소각,2020,15657.4,329424.8,98911.4
대전광역시,재활용,2020,68792.0,566224.6,730313.0
부산광역시,기타,2020,44115.6,329216.4,0.0
부산광역시,매립,2020,36761.2,425847.0,77221.8
부산광역시,소각,2020,89915.6,94054.2,324095.4
부산광역시,재활용,2020,453411.6,1969930.6,1895471.2
서울특별시,기타,2020,19609.0,539579.8,680.0
서울특별시,매립,2020,3214.4,238136.0,691106.6
서울특별시,소각,2020,79898.8,124244.2,1595532.2
서울특별시,재활용,2020,622951.8,788430.6,4067921.2
세종특별자치시,기타,2020,4255.6,23075.8,0.0
세종특별자치시,매립,2020,37.8,86142.4,0.0
세종특별자치시,소각,2020,13312.2,57146.8,58780.2
세종특별자치시,재활용,2020,21732.8,620160.8,177002.2
울산광역시,기타,2020,35858.4,898263.2,0.0
울산광역시,매립,2020,448.0,462659.8,82621.4
울산광역시,소각,2020,36915.0,396922.0,341433.4
울산광역시,재활용,2020,97355.6,7050482.2,420618.4
인천광역시,기타,2020,22308.4,397236.4,0.0
인천광역시,매립,2020,10523.4,1265132.8,225731.2
인천광역시,소각,2020,135408.8,286194.0,439269.4
인천광역시,재활용,2020,688298.4,6378478.4,798700.8
전라남도,기타,2020,41163.0,276330.0,43234.6
전라남도,매립,2020,41952.4,380297.2,472366.4
전라남도,소각,2020,96516.0,220164.8,274258.0
전라남도,재활용,2020,423456.2,28132491.4,510182.0
전라북도,기타,2020,77576.8,159942.2,0.0
전라북도,매립,2020,11124.2,465496.8,238130.4
전라북도,소각,2020,72200.8,1050039.6,360287.4
전라북도,재활용,2020,245377.6,4033788.2,625708.0
제주특별자치도,기타,2020,8735.6,12706.4,0.0
제주특별자치도,매립,2020,14533.4,71842.0,38294.0
제주특별자치도,소각,2020,20119.8,84235.0,273389.2
제주특별자치도,재활용,2020,87679.2,260235.4,523796.2
충청남도,기타,2020,39143.2,498085.0,2939.4
충청남도,매립,2020,5861.8,1920770.0,135427.0
충청남도,소각,2020,110466.6,493509.2,760586.2
충청남도,재활용,2020,381190.4,25566060.0,634348.0
충청북도,기타,2020,13972.8,522273.4,1151.4
충청북도,매립,2020,3077.4,467990.6,221174.2
충청북도,소각,2020,40787.0,892614.6,547695.0
충청북도,재활용,2020,305257.6,3749176.2,548888.6
