강명,항목,월,2019,2020
금강,6가크롬 Cr6+ (㎎/ℓ),01,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),02,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),03,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),04,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),05,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),06,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),07,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),08,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),09,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),10,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),11,0.0,0.0
금강,6가크롬 Cr6+ (㎎/ℓ),12,0.0,0.0
금강,납 Pb (㎎/ℓ),01,0.0,0.0
금강,납 Pb (㎎/ℓ),02,0.0,0.0
금강,납 Pb (㎎/ℓ),03,0.0,0.0
금강,납 Pb (㎎/ℓ),04,0.0,0.0
금강,납 Pb (㎎/ℓ),05,0.0,0.0
금강,납 Pb (㎎/ℓ),06,0.0,0.0
금강,납 Pb (㎎/ℓ),07,0.0,0.0
금강,납 Pb (㎎/ℓ),08,0.0,0.0
금강,납 Pb (㎎/ℓ),09,0.0,0.0
금강,납 Pb (㎎/ℓ),10,0.0,0.0
금강,납 Pb (㎎/ℓ),11,0.0,0.0
금강,납 Pb (㎎/ℓ),12,0.0,0.0
금강,비소 As (㎎/ℓ),01,0.0,0.0
금강,비소 As (㎎/ℓ),02,0.0,0.0
금강,비소 As (㎎/ℓ),03,0.0,0.0
금강,비소 As (㎎/ℓ),04,0.0,0.0
금강,비소 As (㎎/ℓ),05,0.0,0.0
금강,비소 As (㎎/ℓ),06,0.0,0.0
금강,비소 As (㎎/ℓ),07,0.0,0.0
금강,비소 As (㎎/ℓ),08,0.0,0.0
금강,비소 As (㎎/ℓ),09,0.0,0.0
금강,비소 As (㎎/ℓ),10,0.0,0.0
금강,비소 As (㎎/ℓ),11,0.0,0.0
금강,비소 As (㎎/ℓ),12,0.0,0.0
금강,생물화학적산소요구량 BOD (㎎/ℓ),01,0.85333335,1.1866666
금강,생물화학적산소요구량 BOD (㎎/ℓ),02,0.85333335,1.6933334
금강,생물화학적산소요구량 BOD (㎎/ℓ),03,1.7666667,1.54
금강,생물화학적산소요구량 BOD (㎎/ℓ),04,1.5133333,1.0866667
금강,생물화학적산소요구량 BOD (㎎/ℓ),05,1.54,1.16
금강,생물화학적산소요구량 BOD (㎎/ℓ),06,1.6866666,1.36
금강,생물화학적산소요구량 BOD (㎎/ℓ),07,2.9133334,1.62
금강,생물화학적산소요구량 BOD (㎎/ℓ),08,1.7333333,2.4066668
금강,생물화학적산소요구량 BOD (㎎/ℓ),09,1.5,1.46
금강,생물화학적산소요구량 BOD (㎎/ℓ),10,0.74666667,1.3666667
금강,생물화학적산소요구량 BOD (㎎/ℓ),11,0.5,1.1266667
금강,생물화학적산소요구량 BOD (㎎/ℓ),12,1.5066667,1.3866667
금강,수온 (℃),01,4.68,5.36
금강,수온 (℃),02,3.5,4.62
금강,수온 (℃),03,6.4866667,6.0866666
금강,수온 (℃),04,9.746667,8.34
금강,수온 (℃),05,13.093333,13.046667
금강,수온 (℃),06,16.173334,16.6
금강,수온 (℃),07,19.42,18.153334
금강,수온 (℃),08,21.5,11.2
금강,수온 (℃),09,19.086666,19.073334
금강,수온 (℃),10,10.82,17.68
금강,수온 (℃),11,9.273334,11.84
금강,수온 (℃),12,8.446667,7.36
금강,수은 Hg (㎎/ℓ),01,0.0,0.0
금강,수은 Hg (㎎/ℓ),02,0.0,0.0
금강,수은 Hg (㎎/ℓ),03,0.0,0.0
금강,수은 Hg (㎎/ℓ),04,0.0,0.0
금강,수은 Hg (㎎/ℓ),05,0.0,0.0
금강,수은 Hg (㎎/ℓ),06,0.0,0.0
금강,수은 Hg (㎎/ℓ),07,0.0,0.0
금강,수은 Hg (㎎/ℓ),08,0.0,0.0
금강,수은 Hg (㎎/ℓ),09,0.0,0.0
금강,수은 Hg (㎎/ℓ),10,0.0,0.0
금강,수은 Hg (㎎/ℓ),11,0.0,0.0
금강,수은 Hg (㎎/ℓ),12,0.0,1.018e-05
금강,시안 CN (㎎/ℓ),01,0.0,0.0
금강,시안 CN (㎎/ℓ),02,0.0,0.0
금강,시안 CN (㎎/ℓ),03,0.0,0.0
금강,시안 CN (㎎/ℓ),04,0.0,0.0
금강,시안 CN (㎎/ℓ),05,0.0,0.0
금강,시안 CN (㎎/ℓ),06,0.0,0.0
금강,시안 CN (㎎/ℓ),07,0.0,0.0
금강,시안 CN (㎎/ℓ),08,0.0,0.0
금강,시안 CN (㎎/ℓ),09,0.0,0.0
금강,시안 CN (㎎/ℓ),10,0.0,0.0
금강,시안 CN (㎎/ℓ),11,0.0,0.0
금강,시안 CN (㎎/ℓ),12,0.0,0.0
금강,용존산소 DO (㎎/ℓ),01,10.646667,11.386666
금강,용존산소 DO (㎎/ℓ),02,9.826667,12.166667
금강,용존산소 DO (㎎/ℓ),03,12.666667,12.093333
금강,용존산소 DO (㎎/ℓ),04,11.646667,10.92
금강,용존산소 DO (㎎/ℓ),05,10.34,9.386666
금강,용존산소 DO (㎎/ℓ),06,9.6866665,7.7733335
금강,용존산소 DO (㎎/ℓ),07,8.36,7.56
금강,용존산소 DO (㎎/ℓ),08,6.96,9.073334
금강,용존산소 DO (㎎/ℓ),09,7.6066666,7.6066666
금강,용존산소 DO (㎎/ℓ),10,4.7466664,7.9
금강,용존산소 DO (㎎/ℓ),11,5.326667,7.5866666
