강명,항목,2019,2020,19년_중금속,20년_중금속
금강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
금강,납 Pb (㎎/ℓ),0.0,0.0,0,0
금강,비소 As (㎎/ℓ),0.0,0.0,0,0
금강,수은 Hg (㎎/ℓ),0.0,8.483333333333334e-07,0,1
금강,시안 CN (㎎/ℓ),0.0,0.0,0,0
금강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
기타,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
기타,납 Pb (㎎/ℓ),0.00014137755030833334,6.904762e-05,1,1
기타,비소 As (㎎/ℓ),0.0005637755133333333,0.0005374149666666667,1,1
기타,수은 Hg (㎎/ℓ),0.0,1.4404762016666667e-07,0,1
기타,시안 CN (㎎/ℓ),0.0,0.0,0,0
기타,카드뮴 Cd (㎎/ℓ),0.00018215277300000001,2.375850316666667e-05,1,1
낙동강,6가크롬 Cr6+ (㎎/ℓ),2.8985506666666665e-05,0.0,1,0
낙동강,납 Pb (㎎/ℓ),5.184782416666666e-05,9.622222233333335e-05,1,1
낙동강,비소 As (㎎/ℓ),0.0,0.0,0,0
낙동강,수은 Hg (㎎/ℓ),0.0,0.0,0,0
낙동강,시안 CN (㎎/ℓ),0.0,0.0,0,0
낙동강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
만경강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
만경강,납 Pb (㎎/ℓ),0.0,8.333333333333334e-07,0,1
만경강,비소 As (㎎/ℓ),0.0,1.2e-05,0,1
만경강,수은 Hg (㎎/ℓ),0.0,0.0,0,0
만경강,시안 CN (㎎/ℓ),0.0,0.0,0,0
만경강,카드뮴 Cd (㎎/ℓ),0.0,1.6666666666666665e-07,0,1
삽교천,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
삽교천,납 Pb (㎎/ℓ),0.0,0.0,0,0
삽교천,비소 As (㎎/ℓ),0.0,0.0,0,0
삽교천,수은 Hg (㎎/ℓ),0.0,0.0,0,0
삽교천,시안 CN (㎎/ℓ),0.0,0.0,0,0
삽교천,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
섬진강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
섬진강,납 Pb (㎎/ℓ),1.21794875e-06,9.615384916666666e-07,1,1
섬진강,비소 As (㎎/ℓ),4.3205127825000005e-05,4.974358883333334e-05,1,1
섬진강,수은 Hg (㎎/ℓ),3.205128283333333e-08,8.974359166666666e-09,1,1
섬진강,시안 CN (㎎/ℓ),0.0,0.0,0,0
섬진강,카드뮴 Cd (㎎/ℓ),4.4871796666666664e-07,1.923077e-07,1,1
수어천,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
수어천,납 Pb (㎎/ℓ),0.0,0.0,0,0
수어천,비소 As (㎎/ℓ),0.0,0.0,0,0
수어천,수은 Hg (㎎/ℓ),0.0,0.0,0,0
수어천,시안 CN (㎎/ℓ),0.0,0.0,0,0
수어천,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
