시도명,항목,19년_중금속_평균,20년_중금속_평균,19년_중금속_중앙치,20년_중금속_중앙치,19년_중금속_최댓값,20년_중금속_최댓값,19년_중금속_최솟값,20년_중금속_최솟값
강원도,6가크롬 Cr6+ (㎎/ℓ),1.4492753333333332e-05,0.0,1.4492753333333332e-05,0.0,2.8985506666666665e-05,0.0,0.0,0.0
강원도,납 Pb (㎎/ℓ),0.00014172153152498332,0.0001708253963333167,0.00014172153152498332,0.0001708253963333167,0.0002315952388833,0.0002454285703333,5.184782416666666e-05,9.622222233333336e-05
강원도,비소 As (㎎/ℓ),4.508333370833334e-05,5.5309523625e-05,4.508333370833334e-05,5.5309523625e-05,9.016666741666668e-05,0.00011061904725,0.0,0.0
강원도,수은 Hg (㎎/ℓ),6.07142855e-08,7.797619041666669e-08,6.07142855e-08,7.797619041666669e-08,1.21428571e-07,1.5595238083333338e-07,0.0,0.0
강원도,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원도,카드뮴 Cd (㎎/ℓ),2.273809508333333e-06,5.142857029166668e-06,2.273809508333333e-06,5.142857029166668e-06,4.547619016666666e-06,1.0285714058333337e-05,0.0,0.0
경기도,6가크롬 Cr6+ (㎎/ℓ),0.0,2.0833333333333333e-05,0.0,2.0833333333333333e-05,0.0,4.1666666666666665e-05,0.0,0.0
경기도,납 Pb (㎎/ℓ),0.00011579761944165,0.00012271428516665,0.00011579761944165,0.00012271428516665,0.0002315952388833,0.0002454285703333,0.0,0.0
경기도,비소 As (㎎/ℓ),4.508333370833334e-05,5.5309523625e-05,4.508333370833334e-05,5.5309523625e-05,9.016666741666668e-05,0.00011061904725,0.0,0.0
경기도,수은 Hg (㎎/ℓ),6.07142855e-08,7.797619041666669e-08,6.07142855e-08,7.797619041666669e-08,1.21428571e-07,1.5595238083333338e-07,0.0,0.0
경기도,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기도,카드뮴 Cd (㎎/ℓ),2.273809508333333e-06,5.142857029166668e-06,2.273809508333333e-06,5.142857029166668e-06,4.547619016666666e-06,1.0285714058333337e-05,0.0,0.0
경상남도,6가크롬 Cr6+ (㎎/ℓ),1.4492753333333332e-05,0.0,1.4492753333333332e-05,0.0,2.8985506666666665e-05,0.0,0.0,0.0
경상남도,납 Pb (㎎/ℓ),2.592391208333333e-05,7.290277783333335e-05,2.592391208333333e-05,7.290277783333335e-05,5.184782416666666e-05,9.622222233333336e-05,0.0,4.958333333333334e-05
경상남도,비소 As (㎎/ℓ),0.0005,0.00091916666666665,0.0005,0.00091916666666665,0.001,0.0018383333333333,0.0,0.0
경상남도,수은 Hg (㎎/ℓ),0.0,2.0833333333333336e-07,0.0,2.0833333333333336e-07,0.0,4.166666666666667e-07,0.0,0.0
경상남도,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,카드뮴 Cd (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,6가크롬 Cr6+ (㎎/ℓ),1.4492753333333332e-05,0.0,1.4492753333333332e-05,0.0,2.8985506666666665e-05,0.0,0.0,0.0
경상북도,납 Pb (㎎/ℓ),2.592391208333333e-05,4.811111116666668e-05,2.592391208333333e-05,4.811111116666668e-05,5.184782416666666e-05,9.622222233333336e-05,0.0,0.0
경상북도,비소 As (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,수은 Hg (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,카드뮴 Cd (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주광역시,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주광역시,납 Pb (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주광역시,비소 As (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주광역시,수은 Hg (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주광역시,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주광역시,카드뮴 Cd (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구광역시,6가크롬 Cr6+ (㎎/ℓ),2.8985506666666665e-05,0.0,2.8985506666666665e-05,0.0,2.8985506666666665e-05,0.0,2.8985506666666665e-05,0.0
대구광역시,납 Pb (㎎/ℓ),5.184782416666666e-05,9.622222233333336e-05,5.184782416666666e-05,9.622222233333336e-05,5.184782416666666e-05,9.622222233333336e-05,5.184782416666666e-05,9.622222233333336e-05
대구광역시,비소 As (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구광역시,수은 Hg (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구광역시,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구광역시,카드뮴 Cd (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전광역시,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전광역시,납 Pb (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전광역시,비소 As (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전광역시,수은 Hg (㎎/ℓ),0.0,8.483333333333334e-07,0.0,8.483333333333334e-07,0.0,8.483333333333334e-07,0.0,8.483333333333334e-07
대전광역시,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
