시도명,항목,월,2019,2020
강원도,미세먼지 PM10,01,55.76923076923077,32.89473684210526
강원도,미세먼지 PM2.5,01,31.923076923076923,22.63157894736842
강원도,아황산가스,01,0.0033846153846153,0.003
강원도,오존,01,0.0221538461538461,0.0223157894736842
강원도,이산화질소,01,0.0184615384615384,0.0136842105263157
강원도,일산화탄소,01,0.6307692307692307,0.5444444444444445
경기도,미세먼지 PM10,01,73.1875,46.4375
경기도,미세먼지 PM2.5,01,42.0,30.96875
경기도,아황산가스,01,0.004625,0.003625
경기도,오존,01,0.01325,0.01575
경기도,이산화질소,01,0.034375,0.02865625
경기도,일산화탄소,01,0.728125,0.63125
경상남도,미세먼지 PM10,01,47.06666666666667,28.526315789473685
경상남도,미세먼지 PM2.5,01,23.4,19.210526315789476
경상남도,아황산가스,01,0.0037333333333333,0.0031578947368421
경상남도,오존,01,0.0254,0.0233157894736842
경상남도,이산화질소,01,0.0194666666666666,0.0174736842105263
경상남도,일산화탄소,01,0.52,0.4894736842105263
경상북도,미세먼지 PM10,01,64.0,32.46666666666667
경상북도,미세먼지 PM2.5,01,35.1,21.285714285714285
경상북도,아황산가스,01,0.0043999999999999,0.0042
경상북도,오존,01,0.023,0.0249285714285714
경상북도,이산화질소,01,0.0194,0.0143846153846153
경상북도,일산화탄소,01,0.5700000000000001,0.52
광주광역시,미세먼지 PM10,01,53.0,36.0
광주광역시,미세먼지 PM2.5,01,33.0,27.0
광주광역시,아황산가스,01,0.003,0.003
광주광역시,오존,01,0.021,0.022
광주광역시,이산화질소,01,0.025,0.021
광주광역시,일산화탄소,01,0.6,0.6
대구광역시,미세먼지 PM10,01,57.0,37.0
대구광역시,미세먼지 PM2.5,01,33.0,26.0
대구광역시,아황산가스,01,0.004,0.003
대구광역시,오존,01,0.017,0.018
대구광역시,이산화질소,01,0.029,0.027
대구광역시,일산화탄소,01,0.7,0.7
대전광역시,미세먼지 PM10,01,66.0,41.0
대전광역시,미세먼지 PM2.5,01,34.0,25.0
대전광역시,아황산가스,01,0.004,0.003
대전광역시,오존,01,0.013,0.015
대전광역시,이산화질소,01,0.029,0.026
대전광역시,일산화탄소,01,0.6,0.5
부산광역시,미세먼지 PM10,01,48.0,32.0
부산광역시,미세먼지 PM2.5,01,29.0,21.0
부산광역시,아황산가스,01,0.005,0.004
부산광역시,오존,01,0.023,0.023
부산광역시,이산화질소,01,0.024,0.021
부산광역시,일산화탄소,01,0.4,0.4
서울특별시,미세먼지 PM10,01,66.0,42.0
서울특별시,미세먼지 PM2.5,01,38.0,29.0
서울특별시,아황산가스,01,0.005,0.004
서울특별시,오존,01,0.012,0.014
서울특별시,이산화질소,01,0.039,0.034
서울특별시,일산화탄소,01,0.8,0.7
세종특별자치시,미세먼지 PM10,01,70.0,47.0
세종특별자치시,미세먼지 PM2.5,01,41.0,31.0
세종특별자치시,아황산가스,01,0.004,0.003
세종특별자치시,오존,01,0.014,0.016
세종특별자치시,이산화질소,01,0.024,0.027
세종특별자치시,일산화탄소,01,0.8,0.7
울산광역시,미세먼지 PM10,01,45.0,30.0
울산광역시,미세먼지 PM2.5,01,26.0,19.0
울산광역시,아황산가스,01,0.004,0.004
울산광역시,오존,01,0.025,0.025
울산광역시,이산화질소,01,0.024,0.021
울산광역시,일산화탄소,01,0.6,0.5
인천광역시,미세먼지 PM10,01,62.0,42.0
인천광역시,미세먼지 PM2.5,01,33.0,27.0
인천광역시,아황산가스,01,0.006,0.005
인천광역시,오존,01,0.017,0.02
인천광역시,이산화질소,01,0.032,0.028
인천광역시,일산화탄소,01,0.7,0.7
전라남도,미세먼지 PM10,01,44.72727272727273,33.95454545454545
전라남도,미세먼지 PM2.5,01,28.454545454545453,22.681818181818183
전라남도,아황산가스,01,0.0046363636363636,0.0032608695652173
전라남도,오존,01,0.025,0.0263043478260869
전라남도,이산화질소,01,0.0146363636363636,0.0119130434782608
전라남도,일산화탄소,01,0.5454545454545454,0.4818181818181818
전라북도,미세먼지 PM10,01,58.6,36.583333333333336
전라북도,미세먼지 PM2.5,01,38.53333333333333,28.25
전라북도,아황산가스,01,0.0038571428571428,0.003
전라북도,오존,01,0.0227333333333333,0.0223333333333333
전라북도,이산화질소,01,0.0164666666666666,0.015
전라북도,일산화탄소,01,0.56,0.4785714285714286
제주특별자치도,미세먼지 PM10,01,35.333333333333336,31.666666666666668
제주특별자치도,미세먼지 PM2.5,01,22.0,19.0
제주특별자치도,아황산가스,01,0.0023333333333333,0.002
제주특별자치도,오존,01,0.039,0.0366666666666666
제주특별자치도,이산화질소,01,0.0119999999999999,0.0106666666666666
제주특별자치도,일산화탄소,01,0.3999999999999999,0.3666666666666667
충청남도,미세먼지 PM10,01,60.1875,44.4375
충청남도,미세먼지 PM2.5,01,36.25,32.0
충청남도,아황산가스,01,0.00475,0.003625
충청남도,오존,01,0.0203125,0.01975
충청남도,이산화질소,01,0.021375,0.018375
충청남도,일산화탄소,01,0.725,0.53125
충청북도,미세먼지 PM10,01,68.9,44.833333333333336
충청북도,미세먼지 PM2.5,01,45.8,32.75
충청북도,아황산가스,01,0.0049,0.0031666666666666
충청북도,오존,01,0.0147999999999999,0.0164166666666666
충청북도,이산화질소,01,0.0278,0.0206666666666666
충청북도,일산화탄소,01,0.7,0.625
강원도,미세먼지 PM10,02,49.44444444444444,35.1578947368421
강원도,미세먼지 PM2.5,02,30.05555555555556,24.57894736842105
강원도,아황산가스,02,0.0030555555555555,0.0027894736842105
강원도,오존,02,0.0277777777777777,0.0284210526315789
강원도,이산화질소,02,0.0140555555555555,0.0121578947368421
강원도,일산화탄소,02,0.5470588235294118,0.4944444444444444
경기도,미세먼지 PM10,02,61.41935483870968,43.1875
경기도,미세먼지 PM2.5,02,38.0625,28.34375
경기도,아황산가스,02,0.0041875,0.00321875
경기도,오존,02,0.01971875,0.02109375
