"구분(1)","항목별(1)",항목별(2),항목별(3),2019,2020
"합계","총계",소계,소계,6942985584,7371709122
"합계","국비",소계,소계,96459259,109477897
"합계","지방비",소계,소계,5474561747,5774954879
"합계","지방비",광역시도,자체 예산,434920855,445559192
"합계","지방비",지자체 시군구,시도지원예산,147811475,59437255
"합계","지방비",지자체 시군구,자체예산,4891829417,5269958432
"합계","치관",소계,소계,0,0
"합계","지방채",소계,소계,4500000,34235578
"합계","세입수수료",소계,소계,1367424578,1452464369
"합계","기타",소계,소계,40000,576399
"서울특별시","총계",소계,소계,1275000559,1304940435
"서울특별시","국비",소계,소계,4771900,9883500
"서울특별시","지방비",소계,소계,995989659,1009849334
"서울특별시","지방비",광역시도,자체 예산,145190040,141115289
"서울특별시","지방비",지자체 시군구,시도지원예산,6781664,4848145
"서울특별시","지방비",지자체 시군구,자체예산,844017955,863885900
"서울특별시","치관",소계,소계,0,0
"서울특별시","지방채",소계,소계,0,0
"서울특별시","세입수수료",소계,소계,274239000,285207601
"서울특별시","기타",소계,소계,0,0
"부산광역시","총계",소계,소계,375644748,426667238
"부산광역시","국비",소계,소계,5375000,7626600
"부산광역시","지방비",소계,소계,283859135,302128302
"부산광역시","지방비",광역시도,자체 예산,47003534,45341977
"부산광역시","지방비",지자체 시군구,시도지원예산,2472402,1354939
"부산광역시","지방비",지자체 시군구,자체예산,234383199,255431386
"부산광역시","치관",소계,소계,0,0
"부산광역시","지방채",소계,소계,4500000,30680000
"부산광역시","세입수수료",소계,소계,81910613,86232336
"부산광역시","기타",소계,소계,0,0
"대구광역시","총계",소계,소계,367917245,352972153
"대구광역시","국비",소계,소계,6156300,2737465
"대구광역시","지방비",소계,소계,260631341,282692337
"대구광역시","지방비",광역시도,자체 예산,30859780,37205306
"대구광역시","지방비",지자체 시군구,시도지원예산,2090149,3047300
"대구광역시","지방비",지자체 시군구,자체예산,227681412,242439731
"대구광역시","치관",소계,소계,0,0
"대구광역시","지방채",소계,소계,0,0
"대구광역시","세입수수료",소계,소계,101129604,66965952
"대구광역시","기타",소계,소계,0,576399
"인천광역시","총계",소계,소계,375964734,447091940
"인천광역시","국비",소계,소계,1992110,4755645
"인천광역시","지방비",소계,소계,277471168,328815474
"인천광역시","지방비",광역시도,자체 예산,67348676,51434439
"인천광역시","지방비",지자체 시군구,시도지원예산,11394492,9023551
"인천광역시","지방비",지자체 시군구,자체예산,198728000,268357484
"인천광역시","치관",소계,소계,0,0
"인천광역시","지방채",소계,소계,0,0
"인천광역시","세입수수료",소계,소계,96501456,113520821
"인천광역시","기타",소계,소계,0,0
"광주광역시","총계",소계,소계,156437463,157997954
"광주광역시","국비",소계,소계,480300,0
"광주광역시","지방비",소계,소계,117844538,113468766
"광주광역시","지방비",광역시도,자체 예산,24276016,10633456
"광주광역시","지방비",지자체 시군구,시도지원예산,2584650,2675495
"광주광역시","지방비",지자체 시군구,자체예산,90983872,100159815
"광주광역시","치관",소계,소계,0,0
"광주광역시","지방채",소계,소계,0,0
"광주광역시","세입수수료",소계,소계,38112625,44529188
"광주광역시","기타",소계,소계,0,0
"대전광역시","총계",소계,소계,205589986,219625768
"대전광역시","국비",소계,소계,0,0
"대전광역시","지방비",소계,소계,150666758,159951525
"대전광역시","지방비",광역시도,자체 예산,35332541,49184290
"대전광역시","지방비",지자체 시군구,시도지원예산,2491123,2736385
"대전광역시","지방비",지자체 시군구,자체예산,112843094,108030850
"대전광역시","치관",소계,소계,0,0
"대전광역시","지방채",소계,소계,0,0
"대전광역시","세입수수료",소계,소계,54923228,59674243
"대전광역시","기타",소계,소계,0,0
"울산광역시","총계",소계,소계,134212050,155969903
"울산광역시","국비",소계,소계,7200,1544580
"울산광역시","지방비",소계,소계,100345739,115147012
"울산광역시","지방비",광역시도,자체 예산,29291037,28888366
"울산광역시","지방비",지자체 시군구,시도지원예산,1070573,835333
"울산광역시","지방비",지자체 시군구,자체예산,69984129,85423313
"울산광역시","치관",소계,소계,0,0
"울산광역시","지방채",소계,소계,0,0
"울산광역시","세입수수료",소계,소계,33859111,39278311
"울산광역시","기타",소계,소계,0,0
"세종특별자치시","총계",소계,소계,47435016,54994320
"세종특별자치시","국비",소계,소계,112500,855310
"세종특별자치시","지방비",소계,소계,41130481,47078093
"세종특별자치시","지방비",광역시도,자체 예산,41130481,47078093
"세종특별자치시","지방비",지자체 시군구,시도지원예산,0,0
"세종특별자치시","지방비",지자체 시군구,자체예산,0,0
"세종특별자치시","치관",소계,소계,0,0
"세종특별자치시","지방채",소계,소계,0,0
"세종특별자치시","세입수수료",소계,소계,6192035,7060917
"세종특별자치시","기타",소계,소계,0,0
"경기도","총계",소계,소계,1691369540,1816735638
"경기도","국비",소계,소계,3537843,3101540
"경기도","지방비",소계,소계,1379198697,1447564098
"경기도","지방비",광역시도,자체 예산,0,0
"경기도","지방비",지자체 시군구,시도지원예산,50894027,2602229
"경기도","지방비",지자체 시군구,자체예산,1328304670,1444961869
"경기도","치관",소계,소계,0,0
"경기도","지방채",소계,소계,0,0
"경기도","세입수수료",소계,소계,308633000,366070000
"경기도","기타",소계,소계,0,0
"강원도","총계",소계,소계,317185207,363007582
"강원도","국비",소계,소계,12122744,23911725
"강원도","지방비",소계,소계,258891463,291249857
"강원도","지방비",광역시도,자체 예산,0,0
"강원도","지방비",지자체 시군구,시도지원예산,8154268,13658881
"강원도","지방비",지자체 시군구,자체예산,250737195,277590976
"강원도","치관",소계,소계,0,0
"강원도","지방채",소계,소계,0,0
"강원도","세입수수료",소계,소계,46171000,47846000
"강원도","기타",소계,소계,0,0
"충청북도","총계",소계,소계,162588832,182544726
"충청북도","국비",소계,소계,839500,0
"충청북도","지방비",소계,소계,129759332,143301726
"충청북도","지방비",광역시도,자체 예산,0,0
"충청북도","지방비",지자체 시군구,시도지원예산,1322461,285810
"충청북도","지방비",지자체 시군구,자체예산,128436871,143015916
"충청북도","치관",소계,소계,0,0
"충청북도","지방채",소계,소계,0,0
"충청북도","세입수수료",소계,소계,31990000,39243000
"충청북도","기타",소계,소계,0,0
