"시도(1)","항목별(1)",항목별(2),항목별(3),2019
"합계","총계",소계,소계,45912.1
"합계","종량제방식에의한혼합배출",소계,소계,20971.1
"합계","종량제방식에의한혼합배출",가연성,소계,18031.9
"합계","종량제방식에의한혼합배출",가연성,음식물류폐기물,1408.7
"합계","종량제방식에의한혼합배출",가연성,폐지류,4870.2
"합계","종량제방식에의한혼합배출",가연성,폐합성수지류,4416.5
"합계","종량제방식에의한혼합배출",가연성,폐목재류,1186.0
"합계","종량제방식에의한혼합배출",가연성,폐섬유류,880.9
"합계","종량제방식에의한혼합배출",가연성,폐고무류,511.9
"합계","종량제방식에의한혼합배출",가연성,기타,4757.7
"합계","종량제방식에의한혼합배출",불연성,소계,2405.4
"합계","종량제방식에의한혼합배출",불연성,연탄재,143.5
"합계","종량제방식에의한혼합배출",불연성,폐유리류,612.4
"합계","종량제방식에의한혼합배출",불연성,폐금속류,435.4
"합계","종량제방식에의한혼합배출",불연성,폐토사류,196.1
"합계","종량제방식에의한혼합배출",불연성,폐타일 및 도자기류,142.1
"합계","종량제방식에의한혼합배출",불연성,기타,875.9
"합계","종량제방식에의한혼합배출",건설폐재류,소계,250.2
"합계","종량제방식에의한혼합배출",기타(배출불명 등),소계,283.6
"합계","재활용가능자원 분리배출",소계,소계,11802.2
"합계","재활용가능자원 분리배출",폐지류,종이팩,473.5
"합계","재활용가능자원 분리배출",폐지류,기타,3015.7
"합계","재활용가능자원 분리배출",폐유리병류,소계,772.3
"합계","재활용가능자원 분리배출",금속캔,소계,395.6
"합계","재활용가능자원 분리배출",폐합성수지류,비닐류,1210.9
"합계","재활용가능자원 분리배출",폐합성수지류,발포수지류,160.7
"합계","재활용가능자원 분리배출",폐합성수지류,PET병,517.2
"합계","재활용가능자원 분리배출",폐합성수지류,기타,715.5
"합계","재활용가능자원 분리배출",폐고무류,소계,35.8
"합계","재활용가능자원 분리배출",폐전기전자제품,소계,226.7
"합계","재활용가능자원 분리배출",폐전지류,소계,34.2
"합계","재활용가능자원 분리배출",영농폐기물,농약용기류,61.7
"합계","재활용가능자원 분리배출",영농폐기물,폐비닐,424.0
"합계","재활용가능자원 분리배출",폐형광등,소계,46.9
"합계","재활용가능자원 분리배출",고철류,소계,1014.5
"합계","재활용가능자원 분리배출",폐의류,소계,141.8
"합계","재활용가능자원 분리배출",폐섬유류,소계,63.1
"합계","재활용가능자원 분리배출",폐가구류,소계,439.9
"합계","재활용가능자원 분리배출",폐식용유,소계,44.3
