"시도(1)","항목별(1)",항목별(2),2019
"합계","총계",계,45912.1
"합계","총계",매립,6753.5
"합계","총계",소각,13101.4
"합계","총계",재활용,25887.2
"합계","총계",기타,170.0
"합계","지방자치단체",소계,28730.7
"합계","지방자치단체",매립,6380.7
"합계","지방자치단체",소각,11688.5
"합계","지방자치단체",재활용,10598.1
"합계","지방자치단체",기타,63.4
"합계","위탁처리업체",소계,17086.4
"합계","위탁처리업체",매립,370.1
"합계","위탁처리업체",소각,1411.6
"합계","위탁처리업체",재활용,15199.2
"합계","위탁처리업체",기타,105.5
"합계","자가처리업체",소계,95.0
"합계","자가처리업체",매립,2.7
"합계","자가처리업체",소각,1.3
"합계","자가처리업체",재활용,89.9
"합계","자가처리업체",기타,1.1
"서울","총계",계,8658.0
"서울","총계",매립,970.4
"서울","총계",소각,2165.0
"서울","총계",재활용,5513.1
"서울","총계",기타,9.5
"서울","지방자치단체",소계,3773.7
"서울","지방자치단체",매립,830.6
"서울","지방자치단체",소각,1892.9
"서울","지방자치단체",재활용,1050.2
"서울","지방자치단체",기타,0.0
"서울","위탁처리업체",소계,4879.5
"서울","위탁처리업체",매립,139.8
"서울","위탁처리업체",소각,272.1
"서울","위탁처리업체",재활용,4458.3
"서울","위탁처리업체",기타,9.3
"서울","자가처리업체",소계,4.8
"서울","자가처리업체",매립,0.0
"서울","자가처리업체",소각,0.0
"서울","자가처리업체",재활용,4.6
"서울","자가처리업체",기타,0.2
"부산","총계",계,2951.0
"부산","총계",매립,99.0
"부산","총계",소각,421.2
"부산","총계",재활용,2430.8
"부산","총계",기타,0.0
"부산","지방자치단체",소계,1276.3
"부산","지방자치단체",매립,99.0
"부산","지방자치단체",소각,308.6
"부산","지방자치단체",재활용,868.7
"부산","지방자치단체",기타,0.0
"부산","위탁처리업체",소계,1674.7
"부산","위탁처리업체",매립,0.0
"부산","위탁처리업체",소각,112.6
"부산","위탁처리업체",재활용,1562.1
"부산","위탁처리업체",기타,0.0
"부산","자가처리업체",소계,0.0
"부산","자가처리업체",매립,0.0
"부산","자가처리업체",소각,0.0
"부산","자가처리업체",재활용,0.0
"부산","자가처리업체",기타,0.0
"대구","총계",계,2567.9
"대구","총계",매립,487.8
"대구","총계",소각,262.0
"대구","총계",재활용,1818.1
"대구","총계",기타,0.0
"대구","지방자치단체",소계,1651.8
"대구","지방자치단체",매립,487.8
"대구","지방자치단체",소각,227.2
"대구","지방자치단체",재활용,936.8
"대구","지방자치단체",기타,0.0
"대구","위탁처리업체",소계,915.6
"대구","위탁처리업체",매립,0.0
"대구","위탁처리업체",소각,34.8
"대구","위탁처리업체",재활용,880.8
"대구","위탁처리업체",기타,0.0
"대구","자가처리업체",소계,0.5
"대구","자가처리업체",매립,0.0
"대구","자가처리업체",소각,0.0
"대구","자가처리업체",재활용,0.5
"대구","자가처리업체",기타,0.0
"인천","총계",계,1913.8
"인천","총계",매립,338.1
"인천","총계",소각,516.6
"인천","총계",재활용,1059.1
"인천","총계",기타,0.0
"인천","지방자치단체",소계,1206.8
"인천","지방자치단체",매립,338.1
"인천","지방자치단체",소각,447.7
"인천","지방자치단체",재활용,421.0
"인천","지방자치단체",기타,0.0
"인천","위탁처리업체",소계,705.6
"인천","위탁처리업체",매립,0.0
"인천","위탁처리업체",소각,68.9
"인천","위탁처리업체",재활용,636.7
"인천","위탁처리업체",기타,0.0
"인천","자가처리업체",소계,1.4
"인천","자가처리업체",매립,0.0
"인천","자가처리업체",소각,0.0
"인천","자가처리업체",재활용,1.4
"인천","자가처리업체",기타,0.0
"광주","총계",계,1160.2
"광주","총계",매립,519.0
"광주","총계",소각,13.6
"광주","총계",재활용,627.6
"광주","총계",기타,0.0
"광주","지방자치단체",소계,908.1
"광주","지방자치단체",매립,519.0
"광주","지방자치단체",소각,0.0
"광주","지방자치단체",재활용,389.1
"광주","지방자치단체",기타,0.0
"광주","위탁처리업체",소계,251.1
"광주","위탁처리업체",매립,0.0
"광주","위탁처리업체",소각,13.6
"광주","위탁처리업체",재활용,237.5
"광주","위탁처리업체",기타,0.0
"광주","자가처리업체",소계,1.0
"광주","자가처리업체",매립,0.0
"광주","자가처리업체",소각,0.0
"광주","자가처리업체",재활용,1.0
"광주","자가처리업체",기타,0.0
"대전","총계",계,1286.7
"대전","총계",매립,209.4
"대전","총계",소각,186.1
"대전","총계",재활용,877.6
"대전","총계",기타,13.6
"대전","지방자치단체",소계,821.9
"대전","지방자치단체",매립,208.0
"대전","지방자치단체",소각,170.6
"대전","지방자치단체",재활용,443.3
"대전","지방자치단체",기타,0.0
"대전","위탁처리업체",소계,464.7
"대전","위탁처리업체",매립,1.4
"대전","위탁처리업체",소각,15.5
"대전","위탁처리업체",재활용,434.2
"대전","위탁처리업체",기타,13.6
"대전","자가처리업체",소계,0.1
"대전","자가처리업체",매립,0.0
"대전","자가처리업체",소각,0.0
"대전","자가처리업체",재활용,0.1
"대전","자가처리업체",기타,0.0
"울산","총계",계,1267.5
"울산","총계",매립,154.5
"울산","총계",소각,480.5
"울산","총계",재활용,631.3
"울산","총계",기타,1.2
"울산","지방자치단체",소계,889.1
"울산","지방자치단체",매립,154.5
"울산","지방자치단체",소각,448.3
"울산","지방자치단체",재활용,286.3
"울산","지방자치단체",기타,0.0
"울산","위탁처리업체",소계,376.4
"울산","위탁처리업체",매립,0.0
"울산","위탁처리업체",소각,32.2
"울산","위탁처리업체",재활용,343.0
"울산","위탁처리업체",기타,1.2
"울산","자가처리업체",소계,2.0
"울산","자가처리업체",매립,0.0
"울산","자가처리업체",소각,0.0
"울산","자가처리업체",재활용,2.0
"울산","자가처리업체",기타,0.0
"세종","총계",계,325.3
"세종","총계",매립,7.8
"세종","총계",소각,85.0
"세종","총계",재활용,215.4
"세종","총계",기타,17.1
"세종","지방자치단체",소계,72.3
"세종","지방자치단체",매립,7.8
"세종","지방자치단체",소각,34.2
"세종","지방자치단체",재활용,20.2
"세종","지방자치단체",기타,10.1
"세종","위탁처리업체",소계,251.7
"세종","위탁처리업체",매립,0.0
"세종","위탁처리업체",소각,50.8
"세종","위탁처리업체",재활용,193.9
"세종","위탁처리업체",기타,7.0
