"구분(1)","항목별(1)",항목별(2),2020
"합계","총계",소계,17303386.4
"합계","총계",재활용,9762502.9
"합계","총계",소각,5058818.7
"합계","총계",매립,2424367.8
"합계","총계",기타,57697.0
"합계","공공처리",소계,11164316.5
"합계","공공처리",재활용,4155660.3
"합계","공공처리",소각,4560506.4
"합계","공공처리",매립,2405918.7
"합계","공공처리",기타,42231.1
"합계","자가처리",소계,24131.4
"합계","자가처리",재활용,23127.3
"합계","자가처리",소각,124.0
"합계","자가처리",매립,0.0
"합계","자가처리",기타,880.1
"합계","위탁처리",소계,6114938.5
"합계","위탁처리",재활용,5583715.3
"합계","위탁처리",소각,498188.3
"합계","위탁처리",매립,18449.1
"합계","위탁처리",기타,14585.8
"서울특별시","총계",소계,3177620.0
"서울특별시","총계",재활용,2033960.6
"서울특별시","총계",소각,797766.1
"서울특별시","총계",매립,345553.3
"서울특별시","총계",기타,340.0
"서울특별시","공공처리",소계,1454165.1
"서울특별시","공공처리",재활용,379742.3
"서울특별시","공공처리",소각,730391.5
"서울특별시","공공처리",매립,344031.3
"서울특별시","공공처리",기타,0.0
"서울특별시","자가처리",소계,5584.0
"서울특별시","자가처리",재활용,5584.0
"서울특별시","자가처리",소각,0.0
"서울특별시","자가처리",매립,0.0
"서울특별시","자가처리",기타,0.0
"서울특별시","위탁처리",소계,1717870.9
"서울특별시","위탁처리",재활용,1648634.3
"서울특별시","위탁처리",소각,67374.6
"서울특별시","위탁처리",매립,1522.0
"서울특별시","위탁처리",기타,340.0
"부산광역시","총계",소계,1148394.2
"부산광역시","총계",재활용,947735.6
"부산광역시","총계",소각,162047.7
"부산광역시","총계",매립,38610.9
"부산광역시","총계",기타,0.0
"부산광역시","공공처리",소계,517217.4
"부산광역시","공공처리",재활용,353471.2
"부산광역시","공공처리",소각,125135.3
"부산광역시","공공처리",매립,38610.9
"부산광역시","공공처리",기타,0.0
"부산광역시","자가처리",소계,412.6
"부산광역시","자가처리",재활용,412.6
"부산광역시","자가처리",소각,0.0
"부산광역시","자가처리",매립,0.0
"부산광역시","자가처리",기타,0.0
"부산광역시","위탁처리",소계,630764.2
"부산광역시","위탁처리",재활용,593851.8
"부산광역시","위탁처리",소각,36912.4
"부산광역시","위탁처리",매립,0.0
"부산광역시","위탁처리",기타,0.0
"대구광역시","총계",소계,938049.8
"대구광역시","총계",재활용,620537.1
"대구광역시","총계",소각,90841.7
"대구광역시","총계",매립,226671.0
"대구광역시","총계",기타,0.0
"대구광역시","공공처리",소계,639809.2
"대구광역시","공공처리",재활용,329050.5
"대구광역시","공공처리",소각,89787.4
"대구광역시","공공처리",매립,220971.3
"대구광역시","공공처리",기타,0.0
"대구광역시","자가처리",소계,227.1
"대구광역시","자가처리",재활용,227.1
"대구광역시","자가처리",소각,0.0
"대구광역시","자가처리",매립,0.0
"대구광역시","자가처리",기타,0.0
"대구광역시","위탁처리",소계,298013.5
"대구광역시","위탁처리",재활용,291259.5
"대구광역시","위탁처리",소각,1054.3
"대구광역시","위탁처리",매립,5699.7
"대구광역시","위탁처리",기타,0.0
"인천광역시","총계",소계,731850.7
"인천광역시","총계",재활용,399350.4
"인천광역시","총계",소각,219634.7
"인천광역시","총계",매립,112865.6
"인천광역시","총계",기타,0.0
"인천광역시","공공처리",소계,454437.5
"인천광역시","공공처리",재활용,143335.6
"인천광역시","공공처리",소각,198306.9
"인천광역시","공공처리",매립,112795.0
"인천광역시","공공처리",기타,0.0
"인천광역시","자가처리",소계,237.9
"인천광역시","자가처리",재활용,237.9
"인천광역시","자가처리",소각,0.0
"인천광역시","자가처리",매립,0.0
"인천광역시","자가처리",기타,0.0
"인천광역시","위탁처리",소계,277175.3
"인천광역시","위탁처리",재활용,255776.9
"인천광역시","위탁처리",소각,21327.8
"인천광역시","위탁처리",매립,70.6
"인천광역시","위탁처리",기타,0.0
"광주광역시","총계",소계,420659.4
"광주광역시","총계",재활용,236336.0
"광주광역시","총계",소각,13906.1
"광주광역시","총계",매립,170417.3
"광주광역시","총계",기타,0.0
"광주광역시","공공처리",소계,314391.2
"광주광역시","공공처리",재활용,143973.9
"광주광역시","공공처리",소각,0.0
"광주광역시","공공처리",매립,170417.3
"광주광역시","공공처리",기타,0.0
"광주광역시","자가처리",소계,289.7
"광주광역시","자가처리",재활용,289.7
"광주광역시","자가처리",소각,0.0
"광주광역시","자가처리",매립,0.0
"광주광역시","자가처리",기타,0.0
"광주광역시","위탁처리",소계,105978.5
"광주광역시","위탁처리",재활용,92072.4
"광주광역시","위탁처리",소각,13906.1
"광주광역시","위탁처리",매립,0.0
"광주광역시","위탁처리",기타,0.0
"대전광역시","총계",소계,498151.8
"대전광역시","총계",재활용,365156.5
"대전광역시","총계",소각,49455.7
"대전광역시","총계",매립,83539.6
"대전광역시","총계",기타,0.0
"대전광역시","공공처리",소계,296814.1
"대전광역시","공공처리",재활용,163818.8
"대전광역시","공공처리",소각,49455.7
"대전광역시","공공처리",매립,83539.6
"대전광역시","공공처리",기타,0.0
"대전광역시","자가처리",소계,1405.6
"대전광역시","자가처리",재활용,1405.6
"대전광역시","자가처리",소각,0.0
"대전광역시","자가처리",매립,0.0
"대전광역시","자가처리",기타,0.0
"대전광역시","위탁처리",소계,199932.1
"대전광역시","위탁처리",재활용,199932.1
"대전광역시","위탁처리",소각,0.0
"대전광역시","위탁처리",매립,0.0
"대전광역시","위탁처리",기타,0.0
"울산광역시","총계",소계,422336.6
"울산광역시","총계",재활용,210309.2
"울산광역시","총계",소각,170716.7
"울산광역시","총계",매립,41310.7
"울산광역시","총계",기타,0.0
"울산광역시","공공처리",소계,309359.4
"울산광역시","공공처리",재활용,103929.2
