시도명,항목,19년_등급,20년_등급
강원도,미세먼지 PM10,보통,보통
강원도,미세먼지 PM2.5,보통,보통
강원도,아황산가스,좋음,좋음
강원도,오존,좋음,좋음
강원도,이산화질소,좋음,좋음
강원도,일산화탄소,좋음,좋음
경기도,미세먼지 PM10,보통,보통
경기도,미세먼지 PM2.5,보통,보통
경기도,아황산가스,좋음,좋음
경기도,오존,보통,좋음
경기도,이산화질소,보통,좋음
경기도,일산화탄소,좋음,좋음
경상남도,미세먼지 PM10,보통,좋음
경상남도,미세먼지 PM2.5,보통,보통
경상남도,아황산가스,좋음,좋음
경상남도,오존,보통,보통
경상남도,이산화질소,좋음,좋음
경상남도,일산화탄소,좋음,좋음
경상북도,미세먼지 PM10,보통,보통
경상북도,미세먼지 PM2.5,보통,보통
경상북도,아황산가스,좋음,좋음
경상북도,오존,보통,보통
경상북도,이산화질소,좋음,좋음
경상북도,일산화탄소,좋음,좋음
광주광역시,미세먼지 PM10,보통,보통
광주광역시,미세먼지 PM2.5,보통,보통
광주광역시,아황산가스,좋음,좋음
광주광역시,오존,좋음,좋음
광주광역시,이산화질소,좋음,좋음
광주광역시,일산화탄소,좋음,좋음
대구광역시,미세먼지 PM10,보통,보통
대구광역시,미세먼지 PM2.5,보통,보통
대구광역시,아황산가스,좋음,좋음
대구광역시,오존,좋음,좋음
대구광역시,이산화질소,좋음,좋음
대구광역시,일산화탄소,좋음,좋음
대전광역시,미세먼지 PM10,보통,보통
대전광역시,미세먼지 PM2.5,보통,보통
대전광역시,아황산가스,좋음,좋음
대전광역시,오존,좋음,좋음
대전광역시,이산화질소,좋음,좋음
대전광역시,일산화탄소,좋음,좋음
부산광역시,미세먼지 PM10,보통,보통
부산광역시,미세먼지 PM2.5,보통,보통
부산광역시,아황산가스,좋음,좋음
부산광역시,오존,좋음,좋음
부산광역시,이산화질소,좋음,좋음
부산광역시,일산화탄소,좋음,좋음
서울특별시,미세먼지 PM10,보통,보통
서울특별시,미세먼지 PM2.5,보통,보통
서울특별시,아황산가스,좋음,좋음
서울특별시,오존,좋음,좋음
서울특별시,이산화질소,보통,보통
서울특별시,일산화탄소,좋음,좋음
세종특별자치시,미세먼지 PM10,보통,보통
세종특별자치시,미세먼지 PM2.5,보통,보통
세종특별자치시,아황산가스,좋음,좋음
세종특별자치시,오존,보통,보통
세종특별자치시,이산화질소,좋음,좋음
세종특별자치시,일산화탄소,좋음,좋음
울산광역시,미세먼지 PM10,보통,보통
울산광역시,미세먼지 PM2.5,보통,보통
울산광역시,아황산가스,좋음,좋음
울산광역시,오존,좋음,좋음
울산광역시,이산화질소,보통,좋음
울산광역시,일산화탄소,좋음,좋음
인천광역시,미세먼지 PM10,보통,보통
인천광역시,미세먼지 PM2.5,보통,보통
인천광역시,아황산가스,좋음,좋음
인천광역시,오존,보통,보통
인천광역시,이산화질소,보통,좋음
인천광역시,일산화탄소,좋음,좋음
전라남도,미세먼지 PM10,보통,좋음
전라남도,미세먼지 PM2.5,보통,보통
전라남도,아황산가스,좋음,좋음
전라남도,오존,보통,보통
전라남도,이산화질소,좋음,좋음
전라남도,일산화탄소,좋음,좋음
전라북도,미세먼지 PM10,보통,보통
전라북도,미세먼지 PM2.5,보통,보통
전라북도,아황산가스,좋음,좋음
전라북도,오존,보통,보통
전라북도,이산화질소,좋음,좋음
전라북도,일산화탄소,좋음,좋음
제주특별자치도,미세먼지 PM10,보통,좋음
제주특별자치도,미세먼지 PM2.5,보통,좋음
제주특별자치도,아황산가스,좋음,좋음
제주특별자치도,오존,보통,보통
제주특별자치도,이산화질소,좋음,좋음
제주특별자치도,일산화탄소,좋음,좋음
충청남도,미세먼지 PM10,보통,보통
충청남도,미세먼지 PM2.5,보통,보통
충청남도,아황산가스,좋음,좋음
충청남도,오존,보통,보통
충청남도,이산화질소,좋음,좋음
충청남도,일산화탄소,좋음,좋음
충청북도,미세먼지 PM10,보통,보통
충청북도,미세먼지 PM2.5,보통,보통
충청북도,아황산가스,좋음,좋음
충청북도,오존,좋음,좋음
충청북도,이산화질소,좋음,좋음
충청북도,일산화탄소,좋음,좋음
