시도명,분류,2019,2020
강원도,국비,12122744,23911725
강원도,세입수수료,46171000,47846000
강원도,지방비,517782926,582499714
경기도,국비,3537843,3101540
경기도,세입수수료,308633000,366070000
경기도,지방비,2758397394,2895128196
경상남도,국비,8056087,9356659
경상남도,세입수수료,87737000,92848000
경상남도,지방비,666844678,639393602
경상북도,국비,6419915,7216298
경상북도,세입수수료,50593000,52055000
경상북도,지방비,648960592,767212656
광주광역시,국비,480300,0
광주광역시,세입수수료,38112625,44529188
광주광역시,지방비,235689076,226937532
대구광역시,국비,6156300,2737465
대구광역시,세입수수료,101129604,66965952
대구광역시,지방비,521262682,565384674
대전광역시,국비,0,0
대전광역시,세입수수료,54923228,59674243
대전광역시,지방비,301333516,319903050
부산광역시,국비,5375000,7626600
부산광역시,세입수수료,81910613,86232336
부산광역시,지방비,567718270,604256604
서울특별시,국비,4771900,9883500
서울특별시,세입수수료,274239000,285207601
서울특별시,지방비,1991979318,2019698668
세종특별자치시,국비,112500,855310
세종특별자치시,세입수수료,6192035,7060917
세종특별자치시,지방비,82260962,94156186
울산광역시,국비,7200,1544580
울산광역시,세입수수료,33859111,39278311
울산광역시,지방비,200691478,230294024
인천광역시,국비,1992110,4755645
인천광역시,세입수수료,96501456,113520821
인천광역시,지방비,554942336,657630948
전라남도,국비,3615019,9035159
전라남도,세입수수료,34390000,37408000
전라남도,지방비,449196956,450127126
전라북도,국비,5901541,4520916
전라북도,세입수수료,41032000,40885000
전라북도,지방비,458880240,434134464
제주특별자치도,국비,31180000,24523000
제주특별자치도,세입수수료,29037906,28097000
제주특별자치도,지방비,289854578,350120908
충청남도,국비,5891300,409500
충청남도,세입수수료,50973000,45543000
충청남도,지방비,443809828,426427954
충청북도,국비,839500,0
충청북도,세입수수료,31990000,39243000
충청북도,지방비,259518664,286603452
