권역명,분류,2019,2020
경남권,15만원~50만원 미만 (%),38.85,35.3
경남권,50만원 이상 (%),25.0,26.099999999999998
경남권,5만원 미만 (%),8.9,5.0
경남권,5만원~15만원 미만 (%),27.3,27.5
경남권,모름 (%),,6.050000000000001
경남권,아니오,84.0,82.85
경남권,예,16.0,17.15
경남권,평균 (원),407087.3,634587.05
경북권,15만원~50만원 미만 (%),60.550003,33.2
경북권,50만원 이상 (%),28.2,24.5
경북권,5만원 미만 (%),6.6,7.85
경북권,5만원~15만원 미만 (%),8.0,31.25
경북권,모름 (%),,3.2
경북권,아니오,92.95,84.75
경북권,예,7.05,15.25
경북권,평균 (원),438320.6,476253.15
서울권,15만원~50만원 미만 (%),39.55,41.3
서울권,50만원 이상 (%),26.099998,33.85
서울권,5만원 미만 (%),8.65,4.05
서울권,5만원~15만원 미만 (%),25.7,14.45
서울권,모름 (%),,6.3
서울권,아니오,91.65,81.65
서울권,예,8.35,18.35
서울권,평균 (원),533861.1,1589126.8499999999
수도권,15만원~50만원 미만 (%),49.550003,37.05
수도권,50만원 이상 (%),28.900002,30.049999999999997
수도권,5만원 미만 (%),5.0,8.55
수도권,5만원~15만원 미만 (%),16.55,20.5
수도권,모름 (%),,3.8499999999999996
수도권,아니오,89.45,83.75
수도권,예,10.549999,16.25
수도권,평균 (원),480415.38,610216.75
충청권,15만원~50만원 미만 (%),49.4,47.3
충청권,50만원 이상 (%),27.75,26.65
충청권,5만원 미만 (%),0.0,10.15
충청권,5만원~15만원 미만 (%),22.85,12.7
충청권,모름 (%),,3.2
충청권,아니오,91.350006,81.15
충청권,예,8.65,18.85
충청권,평균 (원),450209.0,480270.15
호남권,15만원~50만원 미만 (%),53.550003,64.9
호남권,50만원 이상 (%),31.5,14.55
호남권,5만원 미만 (%),2.1499999,2.35
호남권,5만원~15만원 미만 (%),12.8,15.9
호남권,모름 (%),,2.2
호남권,아니오,89.65,78.0
호남권,예,10.35,22.0
호남권,평균 (원),497238.0,363482.55
