시도명,구역,항목,2019,2020
서울특별시,전체 행정구역,면적 (km²),605,605
서울특별시,전체 행정구역,인구 (명),9993743,9911088
서울특별시,전체 행정구역,동(읍·면)수 (개),424,425
서울특별시,전체 행정구역,세대수 (가구),4327605,4417954
서울특별시,생활폐기물 관리구역,면적 (km²),605,605
서울특별시,생활폐기물 관리구역,인구 (명),9993743,9911088
서울특별시,생활폐기물 관리구역,동(읍·면)수 (개),424,425
서울특별시,생활폐기물 관리구역,세대수 (가구),4327605,4417954
서울특별시,생활폐기물 관리제외지역,면적 (km²),0,0
서울특별시,생활폐기물 관리제외지역,인구 (명),0,0
서울특별시,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
서울특별시,생활폐기물 관리제외지역,세대수 (가구),0,0
부산광역시,전체 행정구역,면적 (km²),770,770
부산광역시,전체 행정구역,인구 (명),3459840,3432312
부산광역시,전체 행정구역,동(읍·면)수 (개),206,205
부산광역시,전체 행정구역,세대수 (가구),1497908,1530431
부산광역시,생활폐기물 관리구역,면적 (km²),770,770
부산광역시,생활폐기물 관리구역,인구 (명),3459840,3432312
부산광역시,생활폐기물 관리구역,동(읍·면)수 (개),206,205
부산광역시,생활폐기물 관리구역,세대수 (가구),1497908,1530431
부산광역시,생활폐기물 관리제외지역,면적 (km²),0,0
부산광역시,생활폐기물 관리제외지역,인구 (명),0,0
부산광역시,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
부산광역시,생활폐기물 관리제외지역,세대수 (가구),0,0
대구광역시,전체 행정구역,면적 (km²),883,883
대구광역시,전체 행정구역,인구 (명),2468222,2446144
대구광역시,전체 행정구역,동(읍·면)수 (개),139,141
대구광역시,전체 행정구역,세대수 (가구),1031251,1056627
대구광역시,생활폐기물 관리구역,면적 (km²),883,883
대구광역시,생활폐기물 관리구역,인구 (명),2468222,2446144
대구광역시,생활폐기물 관리구역,동(읍·면)수 (개),139,141
대구광역시,생활폐기물 관리구역,세대수 (가구),1031251,1056627
대구광역시,생활폐기물 관리제외지역,면적 (km²),0,0
대구광역시,생활폐기물 관리제외지역,인구 (명),0,0
대구광역시,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
대구광역시,생활폐기물 관리제외지역,세대수 (가구),0,0
인천광역시,전체 행정구역,면적 (km²),1063,1063
인천광역시,전체 행정구역,인구 (명),3029285,3010476
인천광역시,전체 행정구역,동(읍·면)수 (개),154,155
인천광역시,전체 행정구역,세대수 (가구),1238641,1267956
인천광역시,생활폐기물 관리구역,면적 (km²),1045,1046
인천광역시,생활폐기물 관리구역,인구 (명),3028436,3009561
인천광역시,생활폐기물 관리구역,동(읍·면)수 (개),154,155
인천광역시,생활폐기물 관리구역,세대수 (가구),1238134,1267402
인천광역시,생활폐기물 관리제외지역,면적 (km²),17,17
인천광역시,생활폐기물 관리제외지역,인구 (명),849,915
인천광역시,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
인천광역시,생활폐기물 관리제외지역,세대수 (가구),507,554
광주광역시,전체 행정구역,면적 (km²),501,501
광주광역시,전체 행정구역,인구 (명),1480293,1471385
광주광역시,전체 행정구역,동(읍·면)수 (개),95,96
광주광역시,전체 행정구역,세대수 (가구),616485,633582
광주광역시,생활폐기물 관리구역,면적 (km²),501,501
광주광역시,생활폐기물 관리구역,인구 (명),1480293,1471385
광주광역시,생활폐기물 관리구역,동(읍·면)수 (개),95,96
광주광역시,생활폐기물 관리구역,세대수 (가구),616485,633582
광주광역시,생활폐기물 관리제외지역,면적 (km²),0,0
광주광역시,생활폐기물 관리제외지역,인구 (명),0,0
광주광역시,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
광주광역시,생활폐기물 관리제외지역,세대수 (가구),0,0
대전광역시,전체 행정구역,면적 (km²),539,539
대전광역시,전체 행정구역,인구 (명),1493979,1480777
대전광역시,전체 행정구역,동(읍·면)수 (개),79,79
대전광역시,전체 행정구역,세대수 (가구),635343,652783
대전광역시,생활폐기물 관리구역,면적 (km²),539,539
대전광역시,생활폐기물 관리구역,인구 (명),1493979,1480777
대전광역시,생활폐기물 관리구역,동(읍·면)수 (개),79,79
대전광역시,생활폐기물 관리구역,세대수 (가구),635343,652783
대전광역시,생활폐기물 관리제외지역,면적 (km²),0,0
대전광역시,생활폐기물 관리제외지역,인구 (명),0,0
대전광역시,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
대전광역시,생활폐기물 관리제외지역,세대수 (가구),0,0
울산광역시,전체 행정구역,면적 (km²),1062,1062
울산광역시,전체 행정구역,인구 (명),1168469,1153901
울산광역시,전체 행정구역,동(읍·면)수 (개),56,56
울산광역시,전체 행정구역,세대수 (가구),468659,476893
울산광역시,생활폐기물 관리구역,면적 (km²),1062,1062
울산광역시,생활폐기물 관리구역,인구 (명),1168469,1153901
울산광역시,생활폐기물 관리구역,동(읍·면)수 (개),56,56
울산광역시,생활폐기물 관리구역,세대수 (가구),468659,476893
울산광역시,생활폐기물 관리제외지역,면적 (km²),0,0
울산광역시,생활폐기물 관리제외지역,인구 (명),0,0
울산광역시,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
울산광역시,생활폐기물 관리제외지역,세대수 (가구),0,0
세종특별자치시,전체 행정구역,면적 (km²),464,464
세종특별자치시,전체 행정구역,인구 (명),346275,360907
세종특별자치시,전체 행정구역,동(읍·면)수 (개),19,20
세종특별자치시,전체 행정구역,세대수 (가구),135408,144275
세종특별자치시,생활폐기물 관리구역,면적 (km²),464,464
세종특별자치시,생활폐기물 관리구역,인구 (명),346275,360907
세종특별자치시,생활폐기물 관리구역,동(읍·면)수 (개),19,20
세종특별자치시,생활폐기물 관리구역,세대수 (가구),135408,144275
세종특별자치시,생활폐기물 관리제외지역,면적 (km²),0,0
세종특별자치시,생활폐기물 관리제외지역,인구 (명),0,0
세종특별자치시,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
세종특별자치시,생활폐기물 관리제외지역,세대수 (가구),0,0
경기도,전체 행정구역,면적 (km²),10192,10195
경기도,전체 행정구역,인구 (명),13653984,13774748
경기도,전체 행정구역,동(읍·면)수 (개),543,551
경기도,전체 행정구역,세대수 (가구),5468920,5676401
경기도,생활폐기물 관리구역,면적 (km²),10192,10195
경기도,생활폐기물 관리구역,인구 (명),13653984,13774748
경기도,생활폐기물 관리구역,동(읍·면)수 (개),543,551
경기도,생활폐기물 관리구역,세대수 (가구),5468920,5676401
경기도,생활폐기물 관리제외지역,면적 (km²),0,0
경기도,생활폐기물 관리제외지역,인구 (명),0,0
경기도,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
경기도,생활폐기물 관리제외지역,세대수 (가구),0,0
강원도,전체 행정구역,면적 (km²),16875,16876
강원도,전체 행정구역,인구 (명),1560571,1560172
강원도,전체 행정구역,동(읍·면)수 (개),193,193
강원도,전체 행정구역,세대수 (가구),719524,736301
강원도,생활폐기물 관리구역,면적 (km²),16465,16643
강원도,생활폐기물 관리구역,인구 (명),1558268,1557978
강원도,생활폐기물 관리구역,동(읍·면)수 (개),193,193
강원도,생활폐기물 관리구역,세대수 (가구),718664,735594
강원도,생활폐기물 관리제외지역,면적 (km²),410,233
강원도,생활폐기물 관리제외지역,인구 (명),2303,2194
