시도명,인구수,면적(km²),매립소각량,폐기물발생량,폐기물발생량차
강원도,3120743,33751,704336.3,1348882,-13516
경기도,27428732,20387,3410812.3000000003,7385039,417993
경상남도,6845536,21080,1229261.5,2566968,-26576
경상북도,5411702,38067,1092934.3,1767098,39116
광주광역시,2951678,1002,378722.39999999997,844132,-2814
대구광역시,4914366,1766,591189.7,1875332,766
대전광역시,2974756,1078,277352.8,967796,28506
부산광역시,6892152,1540,390531.60000000003,2225509,71279
서울특별시,19904831,1210,2287740.4,6337790,17450
세종특별자치시,707182,928,63262.1,236625,-843
울산광역시,2322370,2124,443802.4,884973,-40301
인천광역시,6039761,2126,644465.8,1430387,33313
전라남도,3787838,24693,749992.2000000001,1277893,22147
전라북도,3685354,16138,578360.9,1188068,36056
제주특별자치도,1394235,3700,272568.6,767847,67631
충청남도,4379959,16491,861296.1,1601770,-68470
충청북도,3271751,14812,753595.6,1355180,-36272
