시도명,처리업체,처리방식,2019,2020
서울특별시,공공처리,매립,303169.0,344031.3
서울특별시,공공처리,소각,690908.5,730391.5
서울특별시,공공처리,재활용,383323.0,379742.3
서울특별시,공공처리,기타,0.0,0.0
서울특별시,위탁처리,매립,51027.00000000001,1522.0
서울특별시,위탁처리,소각,99316.50000000001,67374.6
서울특별시,위탁처리,재활용,1627279.5,1648634.3
서울특별시,위탁처리,기타,3394.5000000000005,340.0
서울특별시,자가처리,매립,0.0,0.0
서울특별시,자가처리,소각,0.0,0.0
서울특별시,자가처리,재활용,1678.9999999999998,5584.0
서울특별시,자가처리,기타,73.0,0.0
부산광역시,공공처리,매립,36135.0,38610.9
부산광역시,공공처리,소각,112639.00000000001,125135.3
부산광역시,공공처리,재활용,317075.5,353471.2
부산광역시,공공처리,기타,0.0,0.0
부산광역시,위탁처리,매립,0.0,0.0
부산광역시,위탁처리,소각,41099.0,36912.4
부산광역시,위탁처리,재활용,570166.5,593851.8
부산광역시,위탁처리,기타,0.0,0.0
부산광역시,자가처리,매립,0.0,0.0
부산광역시,자가처리,소각,0.0,0.0
부산광역시,자가처리,재활용,0.0,412.6
부산광역시,자가처리,기타,0.0,0.0
대구광역시,공공처리,매립,178047.0,220971.3
대구광역시,공공처리,소각,82928.0,89787.4
대구광역시,공공처리,재활용,341932.0,329050.5
대구광역시,공공처리,기타,0.0,0.0
대구광역시,위탁처리,매립,0.0,5699.7
대구광역시,위탁처리,소각,12701.999999999998,1054.3
대구광역시,위탁처리,재활용,321492.0,291259.5
대구광역시,위탁처리,기타,0.0,0.0
대구광역시,자가처리,매립,0.0,0.0
대구광역시,자가처리,소각,0.0,0.0
대구광역시,자가처리,재활용,182.5,227.1
대구광역시,자가처리,기타,0.0,0.0
인천광역시,공공처리,매립,123406.50000000001,112795.0
인천광역시,공공처리,소각,163410.5,198306.9
인천광역시,공공처리,재활용,153665.0,143335.6
인천광역시,공공처리,기타,0.0,0.0
인천광역시,위탁처리,매립,0.0,70.6
인천광역시,위탁처리,소각,25148.500000000004,21327.8
인천광역시,위탁처리,재활용,232395.50000000003,255776.9
인천광역시,위탁처리,기타,0.0,0.0
인천광역시,자가처리,매립,0.0,0.0
인천광역시,자가처리,소각,0.0,0.0
인천광역시,자가처리,재활용,510.99999999999994,237.9
인천광역시,자가처리,기타,0.0,0.0
광주광역시,공공처리,매립,189435.0,170417.3
광주광역시,공공처리,소각,0.0,0.0
광주광역시,공공처리,재활용,142021.5,143973.9
광주광역시,공공처리,기타,0.0,0.0
광주광역시,위탁처리,매립,0.0,0.0
광주광역시,위탁처리,소각,4964.0,13906.1
광주광역시,위탁처리,재활용,86687.5,92072.4
광주광역시,위탁처리,기타,0.0,0.0
광주광역시,자가처리,매립,0.0,0.0
광주광역시,자가처리,소각,0.0,0.0
광주광역시,자가처리,재활용,365.0,289.7
광주광역시,자가처리,기타,0.0,0.0
대전광역시,공공처리,매립,75920.0,83539.6
대전광역시,공공처리,소각,62269.0,49455.7
대전광역시,공공처리,재활용,161804.5,163818.8
대전광역시,공공처리,기타,0.0,0.0
대전광역시,위탁처리,매립,510.99999999999994,0.0
대전광역시,위탁처리,소각,5657.5,0.0
대전광역시,위탁처리,재활용,158483.0,199932.1
대전광역시,위탁처리,기타,4964.0,0.0
대전광역시,자가처리,매립,0.0,0.0
대전광역시,자가처리,소각,0.0,0.0
대전광역시,자가처리,재활용,36.5,1405.6
대전광역시,자가처리,기타,0.0,0.0
울산광역시,공공처리,매립,56392.5,41310.7
울산광역시,공공처리,소각,163629.5,164119.5
울산광역시,공공처리,재활용,104499.5,103929.2
울산광역시,공공처리,기타,0.0,0.0
울산광역시,위탁처리,매립,0.0,0.0
울산광역시,위탁처리,소각,11753.000000000002,6597.2
울산광역시,위탁처리,재활용,125195.0,105917.6
울산광역시,위탁처리,기타,438.0,0.0
울산광역시,자가처리,매립,0.0,0.0
울산광역시,자가처리,소각,0.0,0.0
울산광역시,자가처리,재활용,730.0,462.4
울산광역시,자가처리,기타,0.0,0.0
세종특별자치시,공공처리,매립,2847.0,0.0
세종특별자치시,공공처리,소각,12483.000000000002,15345.1
세종특별자치시,공공처리,재활용,7373.0,28055.9
세종특별자치시,공공처리,기타,3686.5,0.0
세종특별자치시,위탁처리,매립,0.0,0.0
세종특별자치시,위탁처리,소각,18542.0,14045.0
세종특별자치시,위탁처리,재활용,70773.5,60445.2
세종특별자치시,위탁처리,기타,2555.0,0.0
세종특별자치시,자가처리,매립,0.0,0.0
세종특별자치시,자가처리,소각,0.0,0.0
세종특별자치시,자가처리,재활용,474.5,0.0
세종특별자치시,자가처리,기타,0.0,0.0
경기도,공공처리,매립,264625.0,338026.6
경기도,공공처리,소각,1222129.5,1312805.1
경기도,공공처리,재활용,914142.5,1096148.5
경기도,공공처리,기타,5621.0,0.0
경기도,위탁처리,매립,76358.0,2147.3
경기도,위탁처리,소각,101141.50000000001,93141.3
경기도,위탁처리,재활용,883957.0000000001,1039095.3
경기도,위탁처리,기타,7665.0,13533.3
경기도,자가처리,매립,0.0,0.0
경기도,자가처리,소각,438.0,0.0
경기도,자가처리,재활용,7117.5,5746.2
경기도,자가처리,기타,328.5,872.8
강원도,공공처리,매립,205750.50000000003,184571.6
강원도,공공처리,소각,151000.5,161357.0
강원도,공공처리,재활용,148007.5,184168.7
강원도,공공처리,기타,2299.5,2580.7
강원도,위탁처리,매립,36.5,50.7
강원도,위탁처리,소각,1569.5,0.0
강원도,위탁처리,재활용,163921.5,133434.5
강원도,위탁처리,기타,693.5,712.5
강원도,자가처리,매립,0.0,0.0
강원도,자가처리,소각,0.0,0.0
강원도,자가처리,재활용,7920.5,807.8
강원도,자가처리,기타,0.0,0.0
충청북도,공공처리,매립,120085.0,110550.6
충청북도,공공처리,소각,222358.00000000003,236963.9
충청북도,공공처리,재활용,134101.0,139702.9
충청북도,공공처리,기타,0.0,575.7
충청북도,위탁처리,매립,0.0,36.5
충청북도,위탁처리,소각,26718.0,36883.6
충청북도,위탁처리,재활용,189800.0,134484.7
충청북도,위탁처리,기타,36.5,0.0
충청북도,자가처리,매립,0.0,0.0
충청북도,자가처리,소각,0.0,0.0
충청북도,자가처리,재활용,2628.0,256.7
충청북도,자가처리,기타,0.0,0.0
충청남도,공공처리,매립,46610.5,67471.1
충청남도,공공처리,소각,281086.5,279241.1
충청남도,공공처리,재활용,170199.5,145015.6
충청남도,공공처리,기타,7810.999999999999,1469.7
충청남도,위탁처리,매립,438.0,242.4
충청남도,위탁처리,소각,85154.5,101052.0
충청남도,위탁처리,재활용,243783.5,172060.7
충청남도,위탁처리,기타,0.0,0.0
충청남도,자가처리,매립,0.0,0.0
충청남도,자가처리,소각,0.0,0.0
충청남도,자가처리,재활용,36.5,97.7
충청남도,자가처리,기타,0.0,0.0
전라북도,공공처리,매립,110960.0,117271.9
전라북도,공공처리,소각,140963.0,159069.7
전라북도,공공처리,재활용,140415.5,158541.8
전라북도,공공처리,기타,0.0,0.0
전라북도,위탁처리,매립,2628.0,1793.3
전라북도,위탁처리,소각,23652.0,21074.0
전라북도,위탁처리,재활용,140926.5,154115.9
전라북도,위탁처리,기타,14161.999999999998,0.0
전라북도,자가처리,매립,949.0,0.0
전라북도,자가처리,소각,0.0,0.0
전라북도,자가처리,재활용,1350.5,196.3
전라북도,자가처리,기타,0.0,0.0
전라남도,공공처리,매립,253565.50000000003,232558.9
전라남도,공공처리,소각,120815.0,132666.9
전라남도,공공처리,재활용,179434.0,173273.6
전라남도,공공처리,기타,0.0,21610.0
전라남도,위탁처리,매립,730.0,3624.3
전라남도,위탁처리,소각,1569.5,4462.1
전라남도,위탁처리,재활용,67050.5,80833.4
전라남도,위탁처리,기타,4599.0,0.0
전라남도,자가처리,매립,0.0,0.0
전라남도,자가처리,소각,0.0,0.0
전라남도,자가처리,재활용,109.5,984.0
전라남도,자가처리,기타,0.0,7.3
경상북도,공공처리,매립,138189.0,107134.9
경상북도,공공처리,소각,339377.0,375885.0
경상북도,공공처리,재활용,120304.00000000001,156127.2
경상북도,공공처리,기타,3722.9999999999995,2025.0
경상북도,위탁처리,매립,36.5,0.0
경상북도,위탁처리,소각,51757.00000000001,80357.9
경상북도,위탁처리,재활용,206115.50000000003,179807.7
경상북도,위탁처리,기타,0.0,0.0
경상북도,자가처리,매립,36.5,0.0
경상북도,자가처리,소각,36.5,124.0
경상북도,자가처리,재활용,4416.5,1646.2
경상북도,자가처리,기타,0.0,0.0
