시도별(1),항목별(2),2019
강원,기타,217.2
강원,매립,628.8
강원,소각,160.8
강원,소계,12341.6
강원,재활용,11334.8
경기,기타,3278.4
경기,매립,4517.2
경기,소각,4178.8
경기,소계,52375.8
경기,재활용,40401.4
경남,기타,946.2
경남,매립,3499.6
경남,소각,1498.8
경남,소계,28849.4
경남,재활용,22904.8
경북,기타,585.4
경북,매립,3521.2
경북,소각,965.6
경북,소계,47185.8
경북,재활용,42113.6
광주,기타,583.8
광주,매립,228.8
광주,소각,96.6
광주,소계,1724.0
광주,재활용,814.8
대구,기타,681.6
대구,매립,1102.2
대구,소각,159.2
대구,소계,5374.6
대구,재활용,3431.6000000000004
대전,기타,296.2
대전,매립,682.4
대전,소각,1660.0
대전,소계,4271.0
대전,재활용,1632.4
부산,기타,1435.2
부산,매립,1447.6
부산,소각,265.6
부산,소계,8019.0
부산,재활용,4870.6
서울,기타,1845.2
서울,매립,438.4
서울,소각,457.2
서울,소계,4606.0
서울,재활용,1865.1999999999998
세종,기타,82.8
세종,매립,258.0
세종,소각,131.0
세종,소계,2463.0
세종,재활용,1991.2
울산,기타,243.6
울산,매립,1518.0
울산,소각,950.4
울산,소계,13512.2
울산,재활용,10800.2
인천,기타,659.6
인천,매립,4753.0
인천,소각,812.0
인천,소계,25199.6
인천,재활용,18975.0
전남,기타,622.2
전남,매립,1532.8
전남,소각,551.6
전남,소계,75474.6
전남,재활용,72768.0
전북,기타,243.6
전북,매립,1744.6
전북,소각,634.6
전북,소계,15955.4
전북,재활용,13332.6
제주,기타,120.80000000000001
제주,매립,120.0
제주,소각,151.2
제주,소계,1016.4
제주,재활용,624.4
총계,기타,17121.8
총계,매립,37151.4
총계,소각,16365.8
총계,소계,405238.0
총계,재활용,334599.0
충남,기타,4031.8
충남,매립,10250.8
충남,소각,1491.0
충남,소계,90296.4
충남,재활용,74522.8
충북,기타,1248.2
충북,매립,908.0
충북,소각,2201.4
충북,소계,16573.2
충북,재활용,12215.599999999999
