시도(1),항목별(2),2019
강원,계,384.6
강원,기타,84.2
강원,매립,115.4
강원,소각,62.0
강원,소계,384.6
강원,재활용,507.6
경기,계,3653.0
경기,기타,496.8
경기,매립,149.0
경기,소각,896.8
경기,소계,3653.0
경기,재활용,5763.4
경남,계,919.0
경남,기타,41.6
경남,매립,64.0
경남,소각,144.6
경남,소계,919.0
경남,재활용,1587.8
경북,계,1202.3
경북,기타,245.6
경북,매립,133.6
경북,소각,264.2
경북,소계,1202.3
경북,재활용,1761.2
광주,계,208.1
광주,기타,21.4
광주,매립,18.2
광주,소각,48.0
광주,소계,208.1
광주,재활용,328.6
대구,계,370.2
대구,기타,56.0
대구,매립,40.4
대구,소각,8.0
대구,소계,370.2
대구,재활용,636.0
대전,계,170.5
대전,기타,64.4
대전,매립,16.6
대전,소각,37.4
대전,소계,170.50000000000003
대전,재활용,222.6
부산,계,375.0
부산,기타,0.0
부산,매립,44.4
부산,소각,179.2
부산,소계,375.0
부산,재활용,526.4
서울,계,1189.4
서울,기타,156.4
서울,매립,16.2
서울,소각,161.6
서울,소계,1189.3999999999999
서울,재활용,2044.6
세종,계,110.1
세종,기타,153.2
세종,매립,0.0
세종,소각,16.0
세종,소계,110.1
세종,재활용,51.0
울산,계,354.8
울산,기타,76.4
울산,매립,58.4
울산,소각,264.8
울산,소계,354.79999999999995
울산,재활용,310.0
인천,계,1085.2
인천,기타,157.4
인천,매립,137.8
인천,소각,793.4
인천,소계,1085.1999999999998
인천,재활용,1081.8
전남,계,377.6
전남,기타,29.0
전남,매립,135.6
전남,소각,68.2
전남,소계,377.6
전남,재활용,522.4
전북,계,472.5
전북,기타,15.2
전북,매립,54.8
전북,소각,109.0
전북,소계,472.5
전북,재활용,766.0
제주,계,274.3
제주,기타,1.0
제주,매립,50.6
제주,소각,242.0
제주,소계,274.3
제주,재활용,255.0
충남,계,534.4
충남,기타,111.6
충남,매립,127.8
충남,소각,193.39999999999998
충남,소계,534.4
충남,재활용,636.0
충북,계,368.3
충북,기타,135.8
충북,매립,2.2
충북,소각,146.8
충북,소계,368.3
충북,재활용,451.8
합계,계,12049.3
합계,기타,1846.0
합계,매립,1165.0
합계,소각,3635.4
합계,소계,12049.3
합계,재활용,17452.2
