"수계별(1)","수계별(2)",항목,2019.01,2019.02,2019.03
"한강","화천댐1(파로호)",생물화학적산소요구량 BOD (㎎/ℓ),1.0,-,0.3
"한강","화천댐1(파로호)",용존산소 DO (㎎/ℓ),10.3,-,12.4
"한강","화천댐1(파로호)",수온 (℃),5.3,-,4.6
"한강","화천댐1(파로호)",카드뮴 Cd (㎎/ℓ),-,-,0.00039
"한강","화천댐1(파로호)",시안 CN (㎎/ℓ),-,-,0.00
"한강","화천댐1(파로호)",납 Pb (㎎/ℓ),-,-,0.00152
"한강","화천댐1(파로호)",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","화천댐1(파로호)",비소 As (㎎/ℓ),-,-,0.00000
"한강","화천댐1(파로호)",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","화천댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.1,-,0.5
"한강","화천댐2",용존산소 DO (㎎/ℓ),11.0,-,12.4
"한강","화천댐2",수온 (℃),5.2,-,4.7
"한강","화천댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00025
"한강","화천댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","화천댐2",납 Pb (㎎/ℓ),-,-,0.00065
"한강","화천댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","화천댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","화천댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","화천댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.0,-,0.4
"한강","화천댐3",용존산소 DO (㎎/ℓ),11.2,-,12.5
"한강","화천댐3",수온 (℃),5.3,-,5.0
"한강","화천댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00028
"한강","화천댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","화천댐3",납 Pb (㎎/ℓ),-,-,0.00157
"한강","화천댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","화천댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","화천댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","춘천댐1",생물화학적산소요구량 BOD (㎎/ℓ),-,-,1.4
"한강","춘천댐1",용존산소 DO (㎎/ℓ),-,-,12.8
"한강","춘천댐1",수온 (℃),-,-,5.6
"한강","춘천댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00017
"한강","춘천댐1",시안 CN (㎎/ℓ),-,-,0.00
"한강","춘천댐1",납 Pb (㎎/ℓ),-,-,0.00144
"한강","춘천댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","춘천댐1",비소 As (㎎/ℓ),-,-,0.00000
"한강","춘천댐1",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","춘천댐2",생물화학적산소요구량 BOD (㎎/ℓ),-,-,1.3
"한강","춘천댐2",용존산소 DO (㎎/ℓ),-,-,13.0
"한강","춘천댐2",수온 (℃),-,-,5.4
"한강","춘천댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00017
"한강","춘천댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","춘천댐2",납 Pb (㎎/ℓ),-,-,0.00173
"한강","춘천댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","춘천댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","춘천댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","춘천댐3",생물화학적산소요구량 BOD (㎎/ℓ),-,-,1.4
"한강","춘천댐3",용존산소 DO (㎎/ℓ),-,-,12.6
"한강","춘천댐3",수온 (℃),-,-,6.7
"한강","춘천댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","춘천댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","춘천댐3",납 Pb (㎎/ℓ),-,-,0.00140
"한강","춘천댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","춘천댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","춘천댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","소양강댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.4,1.4,1.3
"한강","소양강댐1",용존산소 DO (㎎/ℓ),7.4,8.7,8.4
"한강","소양강댐1",수온 (℃),7.3,5.5,5.5
"한강","소양강댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","소양강댐1",시안 CN (㎎/ℓ),-,-,0.00
"한강","소양강댐1",납 Pb (㎎/ℓ),-,-,0.00000
"한강","소양강댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","소양강댐1",비소 As (㎎/ℓ),-,-,0.00000
"한강","소양강댐1",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","소양강댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.7,1.3,1.5
"한강","소양강댐2",용존산소 DO (㎎/ℓ),8.0,10.0,10.4
"한강","소양강댐2",수온 (℃),7.7,5.7,5.6
"한강","소양강댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","소양강댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","소양강댐2",납 Pb (㎎/ℓ),-,-,0.00000
"한강","소양강댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","소양강댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","소양강댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","소양강댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.7,1.5,1.3
"한강","소양강댐3",용존산소 DO (㎎/ℓ),9.0,10.7,10.6
"한강","소양강댐3",수온 (℃),8.0,5.5,5.4
"한강","소양강댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","소양강댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","소양강댐3",납 Pb (㎎/ℓ),-,-,0.00000
"한강","소양강댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","소양강댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","소양강댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","소양강댐4",생물화학적산소요구량 BOD (㎎/ℓ),1.7,1.6,1.4
"한강","소양강댐4",용존산소 DO (㎎/ℓ),11.0,12.9,12.2
"한강","소양강댐4",수온 (℃),4.3,3.0,4.1
"한강","소양강댐4",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","소양강댐4",시안 CN (㎎/ℓ),-,-,0.00
"한강","소양강댐4",납 Pb (㎎/ℓ),-,-,0.00000
"한강","소양강댐4",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","소양강댐4",비소 As (㎎/ℓ),-,-,0.00000
"한강","소양강댐4",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","소양강댐5",생물화학적산소요구량 BOD (㎎/ℓ),1.7,1.6,1.7
"한강","소양강댐5",용존산소 DO (㎎/ℓ),10.3,12.5,11.9
"한강","소양강댐5",수온 (℃),6.5,4.1,4.8
"한강","소양강댐5",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","소양강댐5",시안 CN (㎎/ℓ),-,-,0.00
"한강","소양강댐5",납 Pb (㎎/ℓ),-,-,0.00000
