"수계별(1)","수계별(2)",항목,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12
"한강","화천댐1(파로호)",생물화학적산소요구량 BOD (㎎/ℓ),1.1,0.7,1.8,0.9,1.9,1.2,0.6,0.5,1.0
"한강","화천댐1(파로호)",용존산소 DO (㎎/ℓ),12.4,11.1,10.0,9.7,10.2,9.0,8.6,9.8,10.0
"한강","화천댐1(파로호)",수온 (℃),6.6,12.4,15.4,19.5,22.7,18.0,18.2,13.8,10.2
"한강","화천댐1(파로호)",카드뮴 Cd (㎎/ℓ),-,-,0.00020,-,-,0.00000,-,-,0.00000
"한강","화천댐1(파로호)",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","화천댐1(파로호)",납 Pb (㎎/ℓ),-,-,0.00064,-,-,0.00000,-,-,0.00247
"한강","화천댐1(파로호)",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","화천댐1(파로호)",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","화천댐1(파로호)",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","화천댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.1,0.8,1.4,1.0,2.2,1.0,0.6,0.5,1.2
"한강","화천댐2",용존산소 DO (㎎/ℓ),12.4,10.7,9.8,9.8,8.5,9.2,8.8,10.0,10.1
"한강","화천댐2",수온 (℃),6.8,12.9,15.9,17.8,20.3,17.6,18.2,13.8,10.1
"한강","화천댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","화천댐2",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","화천댐2",납 Pb (㎎/ℓ),-,-,0.00015,-,-,0.00000,-,-,0.00162
"한강","화천댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","화천댐2",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","화천댐2",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","화천댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.1,0.9,1.2,1.3,1.2,1.3,0.7,0.6,1.1
"한강","화천댐3",용존산소 DO (㎎/ℓ),12.3,10.9,9.8,9.4,9.4,9.2,8.7,9.7,10.3
"한강","화천댐3",수온 (℃),7.2,14.0,17.0,19.0,21.6,18.1,18.3,13.9,10.1
"한강","화천댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","화천댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","화천댐3",납 Pb (㎎/ℓ),-,-,0.00029,-,-,0.00000,-,-,0.00320
"한강","화천댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","화천댐3",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","화천댐3",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","춘천댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.7,2.3,1.0,1.7,2.0,1.1,2.4,1.2,0.9
"한강","춘천댐1",용존산소 DO (㎎/ℓ),11.7,10.4,9.0,9.3,9.6,9.4,9.1,9.7,11.6
"한강","춘천댐1",수온 (℃),12.6,18.1,25.2,25.3,23.7,21.9,18.5,13.3,6.5
"한강","춘천댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00002,-,-,0.00000,-,-,0.00000
"한강","춘천댐1",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","춘천댐1",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00171
"한강","춘천댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","춘천댐1",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","춘천댐1",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","춘천댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.4,1.5,1.0,1.7,2.5,1.3,1.0,1.2,0.9
"한강","춘천댐2",용존산소 DO (㎎/ℓ),12.7,11.5,9.4,8.5,7.9,8.0,7.8,9.6,11.9
"한강","춘천댐2",수온 (℃),12.0,15.9,21.4,21.1,22.3,20.2,18.5,13.4,6.0
"한강","춘천댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00002,-,-,0.00000,-,-,0.00000
"한강","춘천댐2",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","춘천댐2",납 Pb (㎎/ℓ),-,-,0.00074,-,-,0.00000,-,-,0.00194
"한강","춘천댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","춘천댐2",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","춘천댐2",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","춘천댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.1,2.6,2.1,1.9,2.2,1.4,1.9,1.8,2.5
"한강","춘천댐3",용존산소 DO (㎎/ℓ),12.5,10.1,9.6,9.7,16.8,9.4,9.6,10.3,13.0
"한강","춘천댐3",수온 (℃),12.2,16.8,28.4,26.1,24.0,22.5,18.6,12.6,5.0
"한강","춘천댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00001,-,-,0.00000,-,-,0.00000
"한강","춘천댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","춘천댐3",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00391
"한강","춘천댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","춘천댐3",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","춘천댐3",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","소양강댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.6,1.5,1.2,1.1,0.5,0.9,1.1,1.1,1.0
"한강","소양강댐1",용존산소 DO (㎎/ℓ),8.3,8.3,8.3,7.9,10.4,7.2,6.8,7.2,6.7
"한강","소양강댐1",수온 (℃),6.4,8.0,8.6,10.4,22.8,12.8,14.5,12.9,10.0
"한강","소양강댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐1",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","소양강댐1",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","소양강댐1",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐1",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","소양강댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.6,1.6,1.5,0.9,0.5,0.7,1.2,1.2,0.8
"한강","소양강댐2",용존산소 DO (㎎/ℓ),10.9,9.9,9.3,8.3,9.1,7.2,7.3,6.7,7.8
"한강","소양강댐2",수온 (℃),6.9,8.3,9.3,11.1,23.6,14.4,14.5,15.2,11.7
"한강","소양강댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐2",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","소양강댐2",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","소양강댐2",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐2",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","소양강댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.6,1.6,1.3,1.1,1.9,0.6,1.2,1.2,0.9
"한강","소양강댐3",용존산소 DO (㎎/ℓ),11.3,10.0,9.0,7.0,8.6,6.5,6.7,7.2,9.1
"한강","소양강댐3",수온 (℃),7.3,8.3,10.8,11.9,22.3,15.1,16.8,15.8,11.5
"한강","소양강댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,0.00000,0.00000,-,-,0.00000
"한강","소양강댐3",시안 CN (㎎/ℓ),-,-,0.00,-,0.00,0.00,-,-,0.00
"한강","소양강댐3",납 Pb (㎎/ℓ),-,-,0.00000,-,0.00000,0.00000,-,-,0.00000
"한강","소양강댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,0.000,0.000,-,-,0.000
"한강","소양강댐3",비소 As (㎎/ℓ),-,-,0.00000,-,0.00000,0.00000,-,-,0.00000
"한강","소양강댐3",수은 Hg (㎎/ℓ),-,-,0.0000000,-,0.0000000,0.0000000,-,-,0.0000000
"한강","소양강댐4",생물화학적산소요구량 BOD (㎎/ℓ),1.6,1.3,1.4,1.2,1.3,1.0,1.5,1.6,1.5
"한강","소양강댐4",용존산소 DO (㎎/ℓ),11.0,9.9,9.3,7.1,8.0,8.8,8.5,8.9,11.5
"한강","소양강댐4",수온 (℃),10.4,12.5,18.4,22.1,16.7,18.2,18.8,14.6,9.4
"한강","소양강댐4",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐4",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","소양강댐4",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐4",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","소양강댐4",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐4",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","소양강댐5",생물화학적산소요구량 BOD (㎎/ℓ),1.6,1.1,1.1,1.4,2.0,1.1,1.3,1.3,0.9
"한강","소양강댐5",용존산소 DO (㎎/ℓ),11.2,9.8,9.4,7.1,9.1,8.3,8.4,8.4,10.2
"한강","소양강댐5",수온 (℃),9.8,11.8,17.9,20.3,18.0,19.2,19.0,15.5,11.0
"한강","소양강댐5",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐5",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","소양강댐5",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐5",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","소양강댐5",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐5",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","의암댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.3,2.2,1.7,1.7,1.1,1.4,1.1,1.1,0.9
"한강","의암댐1",용존산소 DO (㎎/ℓ),12.1,11.1,10.4,9.9,8.1,9.7,9.8,10.8,12.6
"한강","의암댐1",수온 (℃),11.5,15.6,19.5,21.2,16.7,17.3,15.7,11.6,5.1
"한강","의암댐1",카드뮴 Cd (㎎/ℓ),0.00026,0.00006,0.00001,0.00007,-,0.00000,0.00000,0.00000,0.00000
"한강","의암댐1",시안 CN (㎎/ℓ),0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00
"한강","의암댐1",납 Pb (㎎/ℓ),0.00123,0.00037,0.00047,0.00115,-,0.00000,0.00000,0.00342,0.00083
"한강","의암댐1",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000,0.000,-,0.000,0.000,0.000,0.000
"한강","의암댐1",비소 As (㎎/ℓ),0.00000,0.00029,0.00000,0.00363,-,0.00284,0.00093,0.00813,0.01227
"한강","의암댐1",수은 Hg (㎎/ℓ),0.0000000,0.0000000,0.0000000,0.0000000,-,0.0000000,0.0000000,0.0000000,0.0000000
"한강","의암댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.4,4.0,2.3,2.1,-,1.9,3.5,0.6,1.0
"한강","의암댐2",용존산소 DO (㎎/ℓ),12.6,11.0,11.7,10.9,-,9.5,10.9,9.9,11.8
"한강","의암댐2",수온 (℃),11.1,17.2,25.7,26.8,17.4,23.3,18.0,14.2,7.9
"한강","의암댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00004,-,-,0.00000,-,-,0.00000
"한강","의암댐2",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","의암댐2",납 Pb (㎎/ℓ),-,-,0.00051,-,-,0.00000,-,-,0.00232
"한강","의암댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","의암댐2",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","의암댐2",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","의암댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.9,3.0,2.2,2.8,1.2,1.9,3.5,0.4,0.9
"한강","의암댐3",용존산소 DO (㎎/ℓ),13.2,10.8,12.5,11.9,7.4,10.0,10.9,9.9,11.5
"한강","의암댐3",수온 (℃),11.9,16.5,26.1,26.7,19.3,23.0,18.1,15.1,8.5
"한강","의암댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","의암댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","의암댐3",납 Pb (㎎/ℓ),-,-,0.00084,-,-,0.00000,-,-,0.00224
"한강","의암댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","의암댐3",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","의암댐3",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","청평댐1",생물화학적산소요구량 BOD (㎎/ℓ),0.9,0.6,0.4,0.5,1.8,0.7,0.7,0.5,0.4
"한강","청평댐1",용존산소 DO (㎎/ℓ),11.9,11.3,7.7,8.2,8.7,10.1,10.1,10.3,11.0
"한강","청평댐1",수온 (℃),10.9,14.0,21.3,23.1,17.1,18.2,14.4,10.6,7.9
"한강","청평댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐1",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","청평댐1",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","청평댐1",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
