구분(1),항목별(2),2020
강원도,기타,98363.4
강원도,매립,245895.4
강원도,소각,74140.4
강원도,소계,4502221.4
강원도,재활용,4083822.2
경기도,기타,1767479.2
경기도,매립,2106979.6
경기도,소각,1704042.6
경기도,소계,22765462.8
경기도,재활용,17186961.4
경상남도,기타,458749.4
경상남도,매립,1035599.2
경상남도,소각,528812.6
경상남도,소계,9923923.6
경상남도,재활용,7900762.4
경상북도,기타,272428.0
경상북도,매립,1447520.4
경상북도,소각,542733.2
경상북도,소계,28837160.0
경상북도,재활용,26574478.4
광주광역시,기타,203447.6
광주광역시,매립,98560.2
광주광역시,소각,41827.399999999994
광주광역시,소계,749469.0
광주광역시,재활용,405633.80000000005
대구광역시,기타,266959.8
대구광역시,매립,348853.0
대구광역시,소각,41110.4
대구광역시,소계,1804225.0
대구광역시,재활용,1147301.8
대전광역시,기타,320896.8
대전광역시,매립,247619.8
대전광역시,소각,329424.8
대전광역시,소계,1464166.0
대전광역시,재활용,566224.6
부산광역시,기타,329216.4
부산광역시,매립,425847.0
부산광역시,소각,94054.2
부산광역시,소계,2819048.2
부산광역시,재활용,1969930.6
서울특별시,기타,539579.8
서울특별시,매립,238136.0
서울특별시,소각,124244.2
서울특별시,소계,1690390.6
서울특별시,재활용,788430.6
세종특별자치시,기타,23075.8
세종특별자치시,매립,86142.4
세종특별자치시,소각,57146.8
세종특별자치시,소계,786525.8
세종특별자치시,재활용,620160.8
울산광역시,기타,898263.2
울산광역시,매립,462659.8
울산광역시,소각,396922.0
울산광역시,소계,8808327.2
울산광역시,재활용,7050482.2
인천광역시,기타,397236.4
인천광역시,매립,1265132.8
인천광역시,소각,286194.0
인천광역시,소계,8327041.6
인천광역시,재활용,6378478.4
전라남도,기타,276330.0
전라남도,매립,380297.19999999995
전라남도,소각,220164.8
전라남도,소계,29009283.4
전라남도,재활용,28132491.4
전라북도,기타,159942.2
전라북도,매립,465496.8
전라북도,소각,1050039.6
전라북도,소계,5709266.8
전라북도,재활용,4033788.2
제주특별자치도,기타,12706.4
제주특별자치도,매립,71842.0
제주특별자치도,소각,84235.0
제주특별자치도,소계,429018.8
제주특별자치도,재활용,260235.4
총계,기타,7045032.8
총계,매립,11315342.2
총계,소각,6961215.8
총계,소계,161736009.2
총계,재활용,136414418.4
충청남도,기타,498085.0
충청남도,매립,1920770.0
충청남도,소각,493509.2
충청남도,소계,28478424.2
충청남도,재활용,25566060.0
충청북도,기타,522273.4
충청북도,매립,467990.6
충청북도,소각,892614.6
충청북도,소계,5632054.8
충청북도,재활용,3749176.2
