구분(1),항목별(2),2020
강원도,기타,6586.4
강원도,매립,369244.6
강원도,소각,322714.0
강원도,소계,1335367.0
강원도,재활용,636822.0
경기도,기타,28812.199999999997
경기도,매립,680347.8
경기도,소각,2811892.8
경기도,소계,7803032.8
경기도,재활용,4281980.0
경상남도,기타,27940.0
경상남도,매립,441544.6
경상남도,소각,786563.4
경상남도,소계,2540393.8
경상남도,재활용,1284345.8
경상북도,기타,4050.0
경상북도,매립,214269.8
경상북도,소각,912733.8
경상북도,소계,1806215.8
경상북도,재활용,675162.2
광주광역시,기타,0.0
광주광역시,매립,340834.6
광주광역시,소각,27812.2
광주광역시,소계,841318.8
광주광역시,재활용,472672.0
대구광역시,기타,0.0
대구광역시,매립,453342.0
대구광역시,소각,181683.4
대구광역시,소계,1876099.6
대구광역시,재활용,1241074.2
대전광역시,기타,0.0
대전광역시,매립,167079.2
대전광역시,소각,98911.4
대전광역시,소계,996303.6
대전광역시,재활용,730313.0
부산광역시,기타,0.0
부산광역시,매립,77221.8
부산광역시,소각,324095.4
부산광역시,소계,2296788.4
부산광역시,재활용,1895471.2000000002
서울특별시,기타,680.0
서울특별시,매립,691106.6
서울특별시,소각,1595532.2
서울특별시,소계,6355240.0
서울특별시,재활용,4067921.2
세종특별자치시,기타,0.0
세종특별자치시,매립,0.0
세종특별자치시,소각,58780.2
세종특별자치시,소계,235782.4
세종특별자치시,재활용,177002.2
울산광역시,기타,0.0
울산광역시,매립,82621.4
울산광역시,소각,341433.4
울산광역시,소계,844673.2
울산광역시,재활용,420618.4
인천광역시,기타,0.0
인천광역시,매립,225731.2
인천광역시,소각,439269.4
인천광역시,소계,1463701.4
인천광역시,재활용,798700.8
전라남도,기타,43234.6
전라남도,매립,472366.4
전라남도,소각,274258.0
전라남도,소계,1300041.0
전라남도,재활용,510182.0
전라북도,기타,0.0
전라북도,매립,238130.4
전라북도,소각,360287.4
전라북도,소계,1224125.8
전라북도,재활용,625708.0
제주특별자치도,기타,0.0
제주특별자치도,매립,38294.0
제주특별자치도,소각,273389.2
제주특별자치도,소계,835479.4
제주특별자치도,재활용,523796.2
충청남도,기타,2939.4
충청남도,매립,135427.0
충청남도,소각,760586.2
충청남도,소계,1533300.6
충청남도,재활용,634348.0
충청북도,기타,1151.4
충청북도,매립,221174.2
충청북도,소각,547695.0
충청북도,소계,1318909.2
충청북도,재활용,548888.6
합계,기타,115394.0
합계,매립,4848735.6
합계,소각,10117637.4
합계,소계,34606772.8
합계,재활용,19525005.8
