시도명,강명,항목,2019,2020,19년_중금속,20년_중금속
서울특별시,한강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
서울특별시,한강,납 Pb (㎎/ℓ),0.0002315952388833,0.0002454285703333,1,1
서울특별시,한강,비소 As (㎎/ℓ),9.016666741666668e-05,0.00011061904725,1,1
서울특별시,한강,수은 Hg (㎎/ℓ),1.21428571e-07,1.5595238083333338e-07,1,1
서울특별시,한강,시안 CN (㎎/ℓ),0.0,0.0,0,0
서울특별시,한강,카드뮴 Cd (㎎/ℓ),4.547619016666666e-06,1.0285714058333337e-05,1,1
인천광역시,한강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
인천광역시,한강,납 Pb (㎎/ℓ),0.0002315952388833,0.0002454285703333,1,1
인천광역시,한강,비소 As (㎎/ℓ),9.016666741666668e-05,0.00011061904725,1,1
인천광역시,한강,수은 Hg (㎎/ℓ),1.21428571e-07,1.5595238083333338e-07,1,1
인천광역시,한강,시안 CN (㎎/ℓ),0.0,0.0,0,0
인천광역시,한강,카드뮴 Cd (㎎/ℓ),4.547619016666666e-06,1.0285714058333337e-05,1,1
경기도,한강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
경기도,한강,납 Pb (㎎/ℓ),0.0002315952388833,0.0002454285703333,1,1
경기도,한강,비소 As (㎎/ℓ),9.016666741666668e-05,0.00011061904725,1,1
경기도,한강,수은 Hg (㎎/ℓ),1.21428571e-07,1.5595238083333338e-07,1,1
경기도,한강,시안 CN (㎎/ℓ),0.0,0.0,0,0
경기도,한강,카드뮴 Cd (㎎/ℓ),4.547619016666666e-06,1.0285714058333337e-05,1,1
충청북도,한강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
충청북도,한강,납 Pb (㎎/ℓ),0.0002315952388833,0.0002454285703333,1,1
충청북도,한강,비소 As (㎎/ℓ),9.016666741666668e-05,0.00011061904725,1,1
