iter	Logloss
0	0.6927424846
1	0.6921719834
2	0.6914855933
3	0.6910556855
4	0.6903734059
5	0.6896936688
6	0.6890167486
7	0.6884525803
8	0.6877793199
9	0.6873557274
10	0.6869795134
11	0.6863106229
12	0.6858663165
13	0.6852009284
14	0.6845382992
15	0.6838784373
16	0.6833225855
17	0.6829063392
18	0.6822508937
19	0.6815981674
20	0.6809481495
21	0.680300829
22	0.6796561952
23	0.6790142659
24	0.678466111
25	0.6781493567
26	0.677778399
27	0.6771411316
28	0.676506589
29	0.6758745987
30	0.6753320265
31	0.6747034644
32	0.6743003066
33	0.6736752645
34	0.6730528191
35	0.672432949
36	0.6718156546
37	0.6712009256
38	0.6705887595
39	0.6699791284
40	0.6696216974
41	0.6690151672
42	0.6684111846
43	0.667879562
44	0.6672788304
45	0.6668873522
46	0.6662900674
47	0.6657625945
48	0.6651685546
49	0.6646439761
50	0.6640530881
51	0.6636819741
52	0.6630940944
53	0.66250866
54	0.6619256622
55	0.661616313
56	0.6612184118
57	0.6606388843
58	0.6601216897
59	0.6596066279
60	0.6590309778
61	0.6585187326
62	0.6580085794
63	0.6574367757
64	0.6570573864
65	0.6566798177
66	0.6563756433
67	0.655869604
68	0.655365632
69	0.6548637191
70	0.6543638556
71	0.6540625139
72	0.6537222196
73	0.6533646207
74	0.652868199
75	0.6523738062
76	0.6518120396
77	0.6513203669
78	0.6509499184
79	0.6505809688
80	0.6500238296
81	0.6495357152
82	0.6490495961
83	0.6488454756
84	0.6482924225
85	0.6478092924
86	0.6474769258
87	0.6469273669
88	0.6463801251
89	0.6460180876
90	0.6455391397
91	0.6449956049
92	0.6444543347
93	0.6439153198
94	0.6433785509
95	0.643096134
96	0.6427695659
97	0.642236075
98	0.6417048075
99	0.6411757543
100	0.6407892552
101	0.6403181089
102	0.639792443
103	0.6394086035
104	0.6388856589
105	0.6384182825
106	0.6378981694
107	0.6373802247
108	0.6368644394
109	0.6365776597
110	0.6361144244
111	0.6356018377
112	0.6351411092
113	0.6346312938
114	0.6341730603
115	0.6336659864
116	0.6332102277
117	0.6328491886
118	0.6325664762
119	0.6321135306
120	0.6316107063
121	0.6311601656
122	0.6307114686
123	0.6302119563
124	0.6297656845
125	0.6292688581
126	0.628774104
127	0.6284625851
128	0.6280197174
129	0.6277098601
130	0.6272186762
131	0.6267786055
132	0.6264623238
133	0.625974228
134	0.6256230696
135	0.6251374855
136	0.6248318675
137	0.6245274885
138	0.6240448105
139	0.6236100159
140	0.6231770248
141	0.6226975163
142	0.6222200087
143	0.6217898847
144	0.6213150049
145	0.6209704164
146	0.6205430895
147	0.6200711523
148	0.6196461213
149	0.6191767139
150	0.6189547281
151	0.6186280246
152	0.618273661
153	0.6179487657
154	0.6176548071
155	0.617234057
156	0.6169391138
157	0.6166288851
158	0.616280054
159	0.615817075
160	0.6153998866
161	0.6150929455
162	0.6146778933
163	0.6142183602
164	0.6137607783
165	0.6133484713
166	0.6130205321
167	0.612702694
168	0.6122486446
169	0.6117964904
170	0.6113462233
171	0.6110710803
172	0.6106631222
173	0.6103598867
174	0.609953965
175	0.6096408103
176	0.6092368953
177	0.6088346349
178	0.6084340224
179	0.607989632
180	0.6077263534
181	0.6073282012
182	0.6071080803
183	0.6066668817
184	0.6062710802
185	0.6058769003
186	0.605595364
187	0.6052031885
188	0.6048126239
189	0.6043756785
190	0.6040444568
191	0.6036564167
192	0.6033508011
193	0.6029646847
194	0.6026998078
195	0.6023156241
196	0.6018833921
197	0.6016254396
198	0.601195368
199	0.6008693962
200	0.6004885127
201	0.6000611406
202	0.599682289
203	0.5993049901
204	0.5989292374
205	0.5986743291
206	0.5982505247
207	0.5978770761
208	0.5975051951
209	0.5971348012
210	0.5967659253
211	0.5964775836
212	0.5961105528
213	0.5958470099
214	0.5954279611
215	0.5950106613
216	0.5947409794
217	0.5943257915
218	0.5939123889
219	0.5935493438
220	0.5932991954
221	0.5930056905
222	0.5927031889
223	0.5923426821
224	0.5920941861
225	0.5917354119
226	0.5913781129
227	0.5910223096
228	0.5906144782
229	0.590208349
230	0.5900344434
231	0.5897704326
232	0.5894174059
233	0.5890140695
234	0.5886629244
235	0.5883132186
236	0.5879649464
237	0.5876569414
238	0.5874126981
239	0.587013057
240	0.5866150837
241	0.5862187679
242	0.5858241062
243	0.5854796402
244	0.5851365864
245	0.5847444146
246	0.5843539093
247	0.5841129059
248	0.5838094648
249	0.5834212511
250	0.5831396972
251	0.5828002587
252	0.5825437964
253	0.5821585265
254	0.5818211862
255	0.5814379609
256	0.58114611
257	0.5807648306
258	0.5803851423
259	0.5801369631
260	0.579884091
261	0.5796671927
262	0.579290075
263	0.578914531
264	0.5785405541
265	0.5782570409
266	0.5780210464
267	0.577689288
268	0.5773589195
269	0.5770854491
270	0.576756677
271	0.5764906851
272	0.5761635568
273	0.5758377694
274	0.5754687981
275	0.5752563869
276	0.5749859052
277	0.5746623334
278	0.5742961908
279	0.574040997
280	0.5736767011
281	0.5734447384
282	0.5731771392
283	0.5728152324
284	0.5725708758
285	0.5722508723
286	0.5720205781
287	0.5716611749
288	0.5713430719
289	0.5709854952
290	0.5707433046
291	0.5704271619
292	0.5701123007
293	0.5697572968
294	0.5695294766
295	0.5692798163
296	0.568967165
297	0.5686145785
298	0.5684748357
299	0.5681987135
300	0.5678881788
301	0.5675789167
302	0.5673325005
303	0.5669829968
304	0.5667231885
305	0.5663757008
306	0.5660296621
307	0.565789025
308	0.5654446444
309	0.5651389388
310	0.5647963548
311	0.5645400396
312	0.5642847968
313	0.5639811788
314	0.5637271715
315	0.5633878647
316	0.5631353613
317	0.5628338472
318	0.5625334976
319	0.5621967853
