iter	Passed	Remaining
0	0	989
1	0	782
2	0	798
3	1	764
4	1	727
5	1	726
6	1	721
7	1	715
8	2	700
9	2	685
10	2	677
11	2	666
12	2	657
13	3	647
14	3	647
15	3	646
16	3	643
17	3	639
18	4	633
19	4	627
20	4	642
21	4	640
22	4	644
23	5	656
24	5	660
25	5	666
26	6	671
27	6	668
28	6	674
29	6	685
30	7	691
31	7	695
32	7	690
33	7	687
34	8	682
35	8	681
36	8	678
37	8	674
38	8	669
39	9	666
40	9	662
41	9	658
42	9	655
43	9	651
44	9	648
45	10	645
46	10	642
47	10	641
48	10	639
49	10	636
50	10	635
51	11	633
52	11	638
53	11	642
54	11	641
55	12	640
56	12	638
57	12	639
58	12	637
59	12	635
60	13	635
61	13	636
62	13	636
63	13	636
64	14	638
65	14	642
66	14	641
67	14	646
68	15	648
69	15	650
70	15	651
71	16	657
72	16	658
73	16	657
74	16	656
75	17	655
76	17	657
77	17	660
78	17	659
79	18	659
80	18	672
81	18	674
82	19	677
83	19	676
84	19	674
85	19	672
86	20	674
87	20	673
88	20	672
89	20	670
90	20	669
91	21	668
92	21	667
93	21	670
94	21	672
95	22	673
96	22	672
97	22	670
98	23	687
99	23	689
100	24	694
101	24	696
102	24	695
103	24	693
104	25	694
105	25	695
106	25	693
107	25	694
108	26	697
109	26	696
110	27	707
111	27	706
112	27	705
113	27	707
114	28	708
115	28	707
116	28	706
117	28	707
118	29	708
119	29	707
120	29	706
121	30	708
122	30	709
123	30	708
124	30	706
125	30	705
126	31	703
127	31	706
128	31	707
129	32	706
130	32	705
131	32	708
132	33	717
133	33	717
134	33	718
135	34	717
136	34	720
137	34	719
138	34	719
139	35	720
140	35	719
141	35	718
142	35	716
143	36	717
144	36	718
145	36	720
146	37	723
147	37	721
148	37	723
149	37	721
150	38	722
151	38	721
152	38	721
153	39	721
154	39	719
155	39	717
156	39	716
157	39	715
158	40	715
159	40	714
160	40	713
161	40	712
162	40	711
163	41	710
164	41	710
165	41	709
166	41	708
167	41	707
168	42	708
169	42	710
170	42	709
171	43	707
172	43	707
173	43	706
174	43	705
175	43	704
176	44	703
177	44	705
178	44	704
179	44	703
180	45	701
181	45	700
182	45	699
183	45	699
184	45	699
185	46	701
186	46	700
187	46	699
188	46	698
189	47	698
190	47	699
191	47	698
192	47	697
193	48	696
194	48	696
195	48	695
196	48	694
197	49	693
198	49	693
199	49	692
200	49	692
201	49	691
202	50	690
203	50	689
204	50	689
205	50	689
206	51	688
207	51	690
208	51	689
209	51	690
210	52	690
211	52	689
212	52	689
213	52	689
214	53	690
215	53	690
216	53	690
217	54	689
218	54	688
219	54	687
220	54	687
221	54	686
222	55	685
223	55	684
224	55	684
225	55	683
226	55	684
227	56	683
228	56	682
229	56	681
230	56	680
231	56	679
232	57	679
233	57	678
234	57	677
235	58	681
236	58	681
237	58	681
238	58	680
239	59	679
240	59	678
241	59	678
242	59	677
243	59	676
244	60	675
245	60	675
246	60	674
247	60	674
248	60	673
249	61	677
250	61	677
251	62	676
252	62	675
253	62	675
254	62	674
255	62	673
256	63	673
257	63	672
258	63	672
259	63	671
260	63	670
261	64	669
262	64	668
263	64	668
264	64	668
265	65	669
266	65	668
267	65	670
268	66	670
269	66	670
270	66	670
271	66	670
272	67	669
273	67	669
274	67	669
275	67	668
276	67	667
277	68	666
278	68	666
279	68	669
280	69	670
281	69	669
282	69	668
283	69	667
284	70	666
285	70	666
286	70	665
287	70	664
288	70	664
289	70	663
290	71	662
291	71	661
292	71	660
293	71	660
294	71	659
295	72	658
296	72	657
297	72	656
298	72	656
299	72	656
300	73	655
301	73	654
302	73	653
303	73	653
304	73	652
305	74	651
306	74	650
307	74	649
308	74	649
309	74	648
310	75	648
311	75	648
312	75	648
313	75	647
314	75	647
315	76	646
316	76	645
317	76	645
318	76	644
319	76	643
320	77	642
321	77	642
322	77	641
323	77	640
324	77	640
325	78	640
326	78	639
327	78	638
328	78	638
329	78	637
330	78	636
331	79	636
332	79	635
333	79	634
334	79	634
335	79	633
336	80	632
337	80	632
338	80	631
339	80	630
340	80	630
341	80	629
342	81	629
343	81	629
344	81	628
345	81	628
346	82	628
347	82	628
348	82	628
349	82	627
350	83	627
351	83	626
352	83	626
353	83	625
354	83	625
355	84	624
356	84	624
357	84	624
358	84	623
359	84	623
360	85	622
361	85	621
362	85	621
363	85	620
364	85	619
365	86	619
366	86	618
367	86	618
368	86	618
369	86	617
370	87	617
371	87	617
372	87	617
373	87	617
374	88	616
375	88	616
376	88	615
377	88	615
378	88	614
379	89	613
380	89	613
381	89	613
382	89	613
383	90	613
384	90	612
385	90	612
386	90	612
387	90	612
388	91	611
389	91	611
390	91	612
391	92	612
392	92	611
393	92	613
394	92	613
395	93	612
396	93	613
397	93	613
398	94	614
399	94	613
400	94	613
401	94	612
402	95	612
403	95	611
404	95	611
405	95	611
406	95	611
407	96	610
408	96	610
409	96	610
410	96	610
411	97	609
412	97	609
413	97	608
414	97	608
415	97	608
416	98	608
417	98	607
418	98	607
419	98	606
420	98	606
421	99	605
422	99	605
423	99	605
424	99	604
425	99	604
426	100	604
427	100	604
428	100	603
429	100	603
430	101	602
431	101	602
432	101	601
433	101	601
434	101	600
435	102	600
436	102	599
437	102	599
438	102	598
439	102	598
440	103	598
441	103	598
442	103	598
443	103	597
444	104	597
445	104	597
446	104	597
447	104	596
448	104	596
449	105	595
450	105	595
451	105	594
452	105	594
453	105	593
454	106	593
455	106	592
456	106	592
457	106	591
458	106	591
459	107	590
460	107	590
461	107	589
462	107	589
463	107	588
464	107	588
465	108	588
466	108	587
467	108	587
468	108	586
469	108	586
470	109	585
471	109	585
472	109	584
473	109	584
474	109	583
475	109	583
476	110	582
477	110	582
478	110	582
479	110	581
480	111	581
481	111	581
482	111	581
483	111	580
484	111	580
485	112	579
486	112	579
487	112	578
488	112	578
489	112	578
490	113	577
491	113	577
492	113	576
493	113	576
494	113	576
495	114	575
496	114	575
497	114	575
498	114	575
499	114	574
500	115	574
501	115	573
502	115	573
503	115	573
504	116	573
505	116	573
506	116	572
507	116	572
508	116	571
509	117	571
510	117	570
511	117	570
512	117	570
513	117	569
514	117	569
515	118	568
516	118	568
517	118	568
518	118	567
519	118	567
520	119	567
521	119	566
522	119	566
523	119	565
524	120	565
525	120	565
526	120	565
527	120	565
528	120	564
529	121	564
530	121	563
531	121	563
532	121	562
533	121	562
534	122	562
535	122	562
536	122	561
537	122	561
538	122	560
539	122	560
540	123	559
541	123	559
542	123	559
543	123	558
544	123	558
545	124	557
546	124	557
547	124	557
548	124	556
549	124	556
550	125	556
551	125	555
552	125	555
553	125	555
554	126	555
555	126	554
556	126	554
557	126	554
558	126	554
559	127	553
560	127	553
561	127	552
562	127	552
563	127	552
564	128	552
565	128	551
566	128	551
567	128	551
568	129	551
569	129	550
570	129	550
571	129	550
572	129	550
573	130	550
574	130	549
575	130	549
576	130	549
577	130	548
578	131	548
579	131	548
580	131	547
581	131	547
582	132	547
583	132	547
584	132	546
585	132	546
586	132	545
587	133	545
588	133	545
589	133	545
590	133	545
591	134	545
592	134	544
593	134	544
594	134	544
595	134	544
596	135	543
597	135	543
598	135	543
599	135	543
600	136	543
601	136	542
602	136	542
603	136	542
604	136	541
605	137	541
606	137	541
607	137	541
608	137	541
609	138	540
610	138	540
611	138	540
612	138	540
613	139	540
614	139	540
615	139	540
616	139	540
617	140	540
618	140	539
619	140	539
620	140	539
621	140	538
622	141	538
623	141	538
624	141	538
625	141	538
626	142	537
627	142	537
628	142	537
629	142	536
630	142	536
631	143	536
632	143	535
633	143	535
634	143	535
635	143	534
636	144	534
637	144	535
638	144	535
639	145	535
640	145	534
641	150	551
642	150	551
643	150	550
644	150	550
645	151	550
646	151	550
647	151	550
648	151	550
649	152	549
650	152	549
651	152	549
652	152	549
653	153	549
654	153	549
655	153	549
656	153	548
657	154	548
658	154	548
659	154	547
660	154	547
661	154	547
662	155	546
663	155	546
664	155	545
665	155	545
666	155	545
667	156	545
668	156	544
669	156	544
670	156	544
671	157	544
672	157	544
673	157	543
674	157	543
675	157	542
676	158	542
677	158	542
678	158	541
679	158	541
680	158	541
681	159	540
682	159	540
683	159	539
684	159	539
685	159	539
686	160	538
687	160	538
688	160	538
689	160	537
690	160	537
691	161	537
692	161	537
693	161	537
694	161	536
695	162	536
696	162	536
697	162	535
698	162	535
699	162	535
700	163	534
701	163	534
702	163	533
703	163	534
704	164	534
705	164	534
706	164	534
707	164	534
708	165	533
709	165	533
710	165	533
711	165	532
712	166	532
713	166	532
714	166	531
715	166	531
716	167	531
717	167	531
718	167	531
719	167	531
720	168	531
721	168	530
722	168	530
723	168	530
724	168	529
725	169	529
726	169	529
727	169	528
728	169	529
729	170	529
730	170	528
731	170	529
732	171	529
733	171	528
734	171	528
735	171	528
736	171	527
737	172	527
738	173	529
739	173	529
740	173	529
741	173	528
742	174	528
743	174	528
744	174	527
745	174	527
746	174	527
747	174	526
748	175	526
749	175	525
750	175	525
751	175	525
752	175	524
753	175	524
754	176	523
755	176	523
756	176	523
757	176	522
758	176	522
759	177	521
760	177	521
761	177	521
762	177	520
763	177	520
764	178	520
765	178	519
766	178	519
767	178	519
768	178	518
769	179	518
770	179	518
771	179	517
772	179	517
773	179	517
774	179	516
775	180	516
776	180	515
777	180	515
778	180	515
779	180	514
780	181	514
781	181	514
782	181	513
783	181	513
784	181	513
785	181	512
786	182	512
787	182	512
788	182	511
789	182	511
790	183	511
791	183	511
792	183	510
793	183	510
794	183	510
795	184	509
796	184	509
797	184	509
798	184	509
799	185	509
800	185	508
801	185	508
802	185	508
803	185	507
804	186	507
805	186	507
806	186	506
807	186	506
808	186	506
809	187	505
810	187	505
811	187	505
812	187	505
813	187	504
814	188	504
815	188	503
816	188	503
817	188	503
818	188	502
819	189	502
820	189	502
821	189	501
822	189	501
823	189	501
824	190	501
825	190	500
826	190	500
827	190	499
828	190	499
829	191	499
830	191	499
831	191	498
832	191	498
833	191	498
834	192	497
835	192	497
836	192	497
837	192	496
838	192	496
839	192	496
840	193	495
841	193	495
842	193	495
843	193	494
844	193	494
845	194	494
846	194	493
847	194	493
848	194	493
849	195	493
850	195	493
851	195	492
852	195	492
853	196	492
854	196	492
855	196	492
856	196	492
857	196	491
858	197	491
859	197	491
860	197	491
861	197	490
862	198	490
863	198	490
864	198	489
865	198	489
866	198	489
867	199	489
868	199	489
869	199	489
870	200	489
871	200	489
872	200	488
873	200	488
874	200	488
875	201	487
876	201	487
877	201	487
878	201	486
879	201	486
880	202	486
881	202	486
882	202	485
883	202	485
884	202	484
885	203	484
886	203	484
887	203	483
888	203	483
889	203	483
890	204	482
891	204	482
892	204	482
893	204	481
894	204	481
895	204	481
896	205	480
897	205	480
898	205	480
899	205	479
900	205	479
901	206	479
902	206	478
903	206	478
904	206	478
905	207	480
906	207	479
907	208	479
908	208	479
909	208	479
910	208	478
911	208	478
912	209	478
913	209	477
914	209	477
915	209	477
916	209	476
917	210	476
918	210	476
919	210	475
920	210	475
921	210	475
922	211	474
923	211	474
924	211	474
925	211	473
926	211	473
927	212	473
928	212	473
929	212	472
930	212	472
931	212	472
932	212	471
933	213	471
934	213	471
935	213	470
936	213	470
